MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
5:Del:R:0	5.29E-03	6.86E-03	6.05E-03	6.11E-03	1.67E-02
5:Del:R:1	6.00E-04	5.27E-04	2.52E-04	1.85E-03	3.64E-04
5:Del:R:2	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
5:Del:R:3	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
5:Del:R:4	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
5:Del:R:5	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
2:Ins:R:0	7.98E-04	1.48E-03	1.57E-03	1.57E-03	2.52E-03
2:Ins:R:1	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
2:Ins:R:2	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
2:Ins:R:3	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
2:Ins:R:4	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
2:Ins:R:5	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
3:Ins:R:0	1.24E-03	2.03E-03	1.72E-03	2.68E-03	2.00E-03
3:Ins:R:1	4.69E-04	2.00E-03	2.33E-03	2.15E-03	3.67E-03
3:Ins:R:2	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
3:Ins:R:3	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
3:Ins:R:4	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
3:Ins:R:5	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
4:Ins:R:0	3.96E-04	1.80E-03	1.23E-03	9.15E-04	1.47E-03
4:Ins:R:1	7.49E-04	6.44E-04	3.94E-04	2.32E-03	5.01E-04
4:Ins:R:2	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
4:Ins:R:3	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
4:Ins:R:4	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
4:Ins:R:5	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
5:Ins:R:0	4.90E-03	5.16E-03	3.36E-03	2.78E-03	6.85E-03
5:Ins:R:1	1.40E-03	4.55E-03	2.94E-03	1.89E-03	4.30E-03
5:Ins:R:2	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
5:Ins:R:3	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
5:Ins:R:4	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
5:Ins:R:5	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
2:Del:M:1	2.91E-03	6.10E-03	6.69E-03	8.07E-03	5.82E-03
3:Del:M:1	4.21E-04	8.65E-04	9.48E-04	1.31E-03	1.96E-03
3:Del:M:2	5.39E-04	1.05E-03	9.56E-04	1.14E-03	8.52E-04
4:Del:M:1	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
4:Del:M:2	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
4:Del:M:3	2.50E-07	1.87E-03	1.27E-03	7.62E-04	9.03E-04
5:Del:M:1	1.90E-03	6.93E-03	3.39E-03	4.60E-03	6.82E-03
5:Del:M:2	7.69E-04	1.89E-03	1.17E-03	2.20E-03	1.64E-03
5:Del:M:3	1.16E-03	2.39E-03	1.92E-03	2.30E-03	5.06E-03
5:Del:M:4	7.62E-04	1.15E-03	6.56E-04	3.84E-04	7.14E-04
5:Del:M:5	1.92E-07	3.63E-07	2.36E-07	2.78E-07	4.23E-07
