MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
CG>TT	0.0028559074498950565	0.04308522804974075	0.09622140691709266	0.05060916127781525	0.025201756146778963
CT>AA	0.002598324144478994	0.020810161896953967	0.1218648799799331	0.028486240145404195	0.03570980511208404
CT>AC	0.0002771500708081476	0.0020491785716350817	0.004070172328523966	0.003403410322138143	0.0006618351388078736
CT>AG	0.0031752723623026213	0.006946909293518466	0.009887996144872489	0.005297793613571287	0.010987874464874495
CT>GA	6.575580052640361e-05	0.002712676556209317	0.004522089513105811	0.0022176248786263384	0.0020474611633972016
CT>GC	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
CT>GG	8.675482337139329e-05	0.0005423632323672223	0.006100691981348518	0.003911863774615085	0.0008954657312051495
CT>TA	0.0009961987178565934	0.01279490012105576	0.04485342236640633	0.031079597157998577	0.008473012989819608
CT>TC	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
CT>TG	0.00035725220469359445	0.004273595221773974	0.010356937654580633	0.011944657926208605	0.0034799304387374175
GC>AA	0.0011854796003880619	0.08233149767404711	0.05804973941149001	0.045352310397945815	0.03689597064821669
GC>AG	0.0006107471508892104	0.008679120871622743	0.013906464635284691	0.017049218789379664	0.010932895836986525
GC>AT	0.00046230390030473247	0.01081872121042636	0.003474008428627826	0.005780571290405306	0.0070495706033239
GC>CA	0.005760002399565565	0.018688422685397575	0.008431113845522446	0.010052338027522636	0.003222634080736668
GC>CG	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
GC>TA	0.0005222845975674773	0.002308318794767956	0.0014719687093992207	0.0012182878521503683	0.00351118893270268
TA>AT	0.0001381749110578312	0.0011654946283033497	0.004430649243197422	0.0042684618252496875	0.0017943067675770408
TA>CG	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
TA>CT	0.00016534032669369481	0.0029693922370077532	0.0027745274548480834	0.0038559725178220106	0.0007446144957134492
TA>GC	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
TA>GG	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
TA>GT	0.00016235817350434444	0.004102967134854083	0.008596522397260742	0.0061528671559665325	0.0026211925462052933
TC>AA	0.00160873394110556	0.030525341725203815	0.03601344847428493	0.08462350898980162	0.02615633056513161
TC>AG	0.0015906681831279457	0.006151364798279246	0.011415163938711998	0.00922276972849147	0.008273258575062527
TC>AT	0.0013095991928605598	0.006832856273309176	0.008050881804438461	0.015595614524111455	0.007923765749347727
TC>CA	0.0007996740356002619	0.00990686786868622	0.014735755208373575	0.006690582984298885	0.010448877738578801
TC>CG	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
TC>CT	0.0017550503256791217	0.009788163791394737	0.014990071175059256	0.016687887459208496	0.011804049612578638
TC>GA	9.104104292873672e-05	0.0022324021006045313	0.0043731238770490675	0.0033407241998395423	0.001429807106642329
TC>GG	0.00011428276593278497	0.002318353904191781	0.0045581008091198786	0.0018973718386752125	0.0018424992238624328
TC>GT	0.001180159880523206	0.0025231001604129233	0.0011038764672522917	0.0011139520852100305	0.00017336675421688596
TG>AA	0.00046191003634954875	0.011677509023587617	0.03778471952654172	0.019221529502234488	0.022870950792416807
TG>AC	0.0001701053289934862	0.0011884201614839184	0.005138325261531236	0.00298326070116957	0.0018291721755758772
TG>AT	0.0017564545595405612	0.044616615583695424	0.09039190251712653	0.03696837929976311	0.01452522564222651
TG>CA	0.00016828379712023888	0.0008773720305627819	0.0046398274761008905	0.0043207030941835	0.0007525018788334136
TG>CC	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
TG>CT	0.001719297821069457	0.018608200881008775	0.015343045951537989	0.25556111404375087	0.04195420182390285
TG>GA	0.0005448118190107281	0.004151492976703537	0.009088136655582986	0.005385298588910245	0.009320402531643594
TG>GC	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
TG>GT	0.005813038671640243	0.009580772914638373	0.013468760220156355	0.004227997115684563	0.010974138683402827
TT>AA	0.0017267316244942777	0.00890177906937291	0.00938796909765614	0.010914233013368673	0.01189352059029602
TT>AC	0.00038314009269356574	0.005407590028941627	0.004901149268904419	0.004751387751283574	0.003768301347291754
TT>AG	0.00027194840468837357	0.002085925069154655	0.003121550366821566	0.0004891420197031948	0.0019936944873325045
TT>CA	0.0009390565708622489	0.0056576492650905405	0.0015671734264910242	0.005567047358024411	0.0017680791198449698
TT>CC	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
TT>CG	1.2827363034375594e-05	1.322091886322596e-05	1.7439473376725802e-05	1.5459581900358897e-05	2.0151048984189403e-05
TT>GA	0.00017181147283736208	0.0014163993182597068	0.003654353702596609	0.0026789830346359623	0.0018680043819540514
TT>GC	1.2827362970710965e-05	1.3220918824572435e-05	1.7439473431295483e-05	1.545958199130837e-05	2.0151049129708552e-05
TT>GG	1.2827362970710965e-05	1.3220918824572435e-05	1.7439473431295483e-05	1.545958199130837e-05	2.0151049129708552e-05
