Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA_44_8117_01A	1.02E+01	9.82E+00	8.82E+00	1.41E+00	4.94E+00	4.04E+00	1.66E+00
TCGA_44_A47G_01A	5.06E-01	8.37E-01	1.15E+00	7.59E-01	1.38E+00	1.66E+00	9.30E-01
TCGA_44_A4SU_01A	2.67E+00	2.77E+00	2.53E+00	4.60E-01	2.40E+00	2.06E+00	1.36E+00
TCGA_49_4487_01A	5.25E+00	5.58E+00	4.97E+00	1.21E+00	4.03E+00	3.63E+00	6.35E-01
TCGA_49_4488_01A	4.69E+00	4.92E+00	4.71E+00	8.58E-01	3.28E+00	2.39E+00	6.54E-01
TCGA_49_4490_01A	1.30E-01	3.43E-01	2.95E-01	6.10E-01	6.14E-01	9.18E-01	8.72E-01
TCGA_49_4505_01A	3.87E+00	4.10E+00	3.53E+00	6.98E-01	1.99E+00	1.62E+00	9.73E-01
TCGA_49_4506_01A	1.68E+00	2.09E+00	2.12E+00	3.09E-01	2.30E+00	1.29E+00	1.15E+00
TCGA_49_4507_01A	2.67E+00	2.78E+00	3.01E+00	1.16E+00	1.80E+00	2.16E+00	1.23E+00
TCGA_49_6744_01A	4.07E+00	4.00E+00	3.91E+00	6.39E-01	2.32E+00	2.22E+00	5.60E-01
TCGA_49_6761_01A	1.93E+00	2.32E+00	2.29E+00	1.18E+00	2.19E+00	2.26E+00	9.87E-01
TCGA_49_6767_01A	7.19E+00	7.40E+00	7.41E+00	1.24E+00	4.44E+00	3.84E+00	1.60E+00
TCGA_50_5051_01A	2.61E+00	1.78E+00	2.46E+00	4.82E-01	1.84E+00	1.00E+00	9.20E-01
TCGA_50_5941_01A	5.56E+00	5.87E+00	5.02E+00	1.16E+00	4.54E+00	3.13E+00	9.07E-01
TCGA_50_5942_01A	6.91E-01	1.26E+00	1.25E+00	2.25E-01	1.39E+00	1.36E+00	4.62E-01
TCGA_50_6590_01A	1.00E+01	9.12E+00	1.02E+01	2.02E+00	6.62E+00	4.66E+00	9.16E-01
TCGA_50_6592_01A	3.22E+00	3.79E+00	3.45E+00	1.19E+00	3.34E+00	2.77E+00	1.05E+00
TCGA_50_6593_01A	5.05E+00	4.99E+00	5.05E+00	8.33E-01	4.02E+00	2.87E+00	1.07E+00
TCGA_50_6595_01A	6.84E-01	1.36E+00	1.23E+00	9.10E-01	1.26E+00	2.01E+00	6.92E-01
TCGA_53_7624_01A	8.02E+00	7.71E+00	8.75E+00	2.20E+00	5.44E+00	5.50E+00	1.66E+00
TCGA_53_7813_01A	2.63E+00	2.97E+00	3.23E+00	1.30E-01	2.94E+00	2.09E+00	1.12E+00
TCGA_55_6543_01A	3.59E-02	1.85E-01	3.22E-01	5.56E-02	3.21E-01	5.38E-01	5.37E-01
TCGA_55_6970_01A	2.98E+00	2.98E+00	2.63E+00	5.92E-01	2.13E+00	1.62E+00	1.04E+00
TCGA_55_6971_01A	1.17E+00	1.60E+00	2.10E+00	4.73E-01	1.93E+00	1.80E+00	4.12E-01
TCGA_55_6979_01A	2.36E+00	2.42E+00	1.80E+00	9.23E-01	8.57E-01	1.10E+00	5.51E-01
TCGA_55_6981_01A	2.44E-01	3.71E-01	3.67E-01	4.29E-01	4.54E-01	1.20E+00	1.17E+00
TCGA_55_6985_01A	6.68E+00	5.59E+00	6.90E+00	7.56E-01	4.34E+00	3.63E+00	1.35E+00
TCGA_55_7281_01A	8.45E+00	8.67E+00	7.99E+00	1.26E+00	3.76E+00	4.59E+00	1.19E+00
TCGA_55_7573_01A	9.82E-01	1.01E+00	1.20E+00	5.22E-01	1.33E+00	1.16E+00	2.40E-01
TCGA_55_7574_01A	3.08E+00	3.26E+00	3.29E+00	1.74E+00	1.49E+00	2.51E+00	4.84E-01
TCGA_55_7725_01A	3.00E+00	3.14E+00	2.77E+00	2.43E-01	2.33E+00	1.48E+00	6.81E-01
TCGA_55_7726_01A	2.69E-01	4.62E-01	9.10E-01	1.02E+00	1.15E+00	7.33E-01	8.71E-01
TCGA_55_7728_01A	2.31E+00	2.02E+00	2.39E+00	3.51E-01	1.48E+00	1.22E+00	8.42E-01
TCGA_55_7911_01A	3.98E+00	4.04E+00	4.00E+00	7.95E-01	2.31E+00	2.16E+00	9.54E-01
TCGA_55_7914_01A	2.21E+00	2.86E+00	2.61E+00	7.71E-01	2.64E+00	2.35E+00	1.62E+00
TCGA_55_7995_01A	7.32E+00	7.20E+00	7.75E+00	1.96E+00	6.03E+00	5.40E+00	7.51E-01
TCGA_55_8096_01A	2.49E+00	2.75E+00	2.44E+00	6.03E-01	1.55E+00	1.72E+00	9.00E-01
TCGA_55_8097_01A	1.44E+00	2.09E+00	1.49E+00	6.23E-01	1.72E+00	1.82E+00	1.31E+00
TCGA_55_8203_01A	8.23E+00	8.46E+00	6.52E+00	5.13E-01	4.36E+00	2.60E+00	1.38E+00
TCGA_55_8208_01A	2.30E+00	3.18E+00	2.55E+00	1.63E+00	2.94E+00	3.28E+00	7.98E-01
TCGA_55_8299_01A	3.49E+00	3.56E+00	4.13E+00	5.75E-01	3.00E+00	2.30E+00	7.58E-01
TCGA_55_8506_01A	1.76E+01	1.54E+01	1.73E+01	9.72E-01	1.22E+01	6.83E+00	6.97E+00
TCGA_55_8510_01A	5.24E+00	4.80E+00	5.56E+00	9.88E-01	3.65E+00	1.93E+00	8.40E-01
TCGA_55_8511_01A	6.92E+00	7.02E+00	7.29E+00	1.60E+00	4.14E+00	4.68E+00	1.81E+00
TCGA_55_8616_01A	9.92E+00	9.78E+00	9.55E+00	1.14E+00	3.95E+00	3.00E+00	1.35E+00
TCGA_55_A48X_01A	7.55E+00	7.24E+00	7.71E+00	1.08E+00	4.65E+00	3.04E+00	8.41E-01
TCGA_55_A48Z_01A	7.09E-01	9.14E-01	8.43E-01	3.89E-01	1.07E+00	1.23E+00	8.60E-01
TCGA_55_A492_01A	4.49E+00	4.00E+00	4.87E+00	7.99E-01	3.79E+00	3.37E+00	1.22E+00
TCGA_55_A493_01A	4.20E+00	4.12E+00	4.75E+00	1.38E+00	3.34E+00	3.02E+00	9.75E-01
TCGA_55_A494_01A	4.24E+00	4.16E+00	3.02E+00	5.77E-01	1.79E+00	2.31E+00	1.41E+00
TCGA_62_A46O_01A	8.43E+00	8.07E+00	8.27E+00	2.06E+00	6.73E+00	5.90E+00	1.63E+00
TCGA_62_A46R_01A	2.15E+00	2.36E+00	2.94E+00	9.26E-01	2.51E+00	2.01E+00	1.47E+00
TCGA_64_1679_01A	9.28E+00	9.07E+00	7.87E+00	1.19E+00	3.36E+00	3.26E+00	1.08E+00
TCGA_64_1681_01A	3.59E-01	1.04E+00	1.03E+00	7.44E-01	1.22E+00	1.66E+00	6.62E-01
TCGA_64_5781_01A	1.52E+01	1.51E+01	1.31E+01	2.20E+00	6.19E+00	6.17E+00	1.77E+00
TCGA_67_3770_01A	3.92E+00	4.40E+00	3.26E+00	3.37E-01	2.60E+00	3.03E+00	1.22E+00
TCGA_67_3774_01A	1.71E+00	2.09E+00	2.36E+00	4.08E-01	1.92E+00	1.47E+00	9.08E-01
TCGA_67_6217_01A	4.04E+00	3.37E+00	4.19E+00	5.64E-01	2.16E+00	2.56E+00	9.93E-01
TCGA_69_7973_01A	5.24E+00	4.27E+00	5.17E+00	5.37E-01	2.09E+00	1.16E+00	1.36E+00
TCGA_69_7974_01A	8.21E+00	7.54E+00	8.20E+00	1.15E+00	4.15E+00	3.16E+00	1.40E+00
TCGA_69_7979_01A	2.73E+01	2.68E+01	2.33E+01	2.37E+00	7.28E+00	3.83E+00	2.60E+00
TCGA_69_7980_01A	9.35E+00	7.90E+00	9.73E+00	2.03E+00	6.64E+00	5.44E+00	1.91E+00
TCGA_73_4662_01A	3.90E+00	3.65E+00	4.04E+00	7.69E-01	2.88E+00	2.73E+00	9.84E-01
TCGA_73_4666_01A	4.68E+00	4.60E+00	5.09E+00	9.17E-01	3.92E+00	3.17E+00	1.00E+00
TCGA_73_4670_01A	5.31E+00	4.80E+00	6.30E+00	8.73E-01	4.17E+00	3.54E+00	1.57E+00
TCGA_73_7498_01A	2.48E+00	2.36E+00	2.73E+00	3.20E-01	1.95E+00	1.76E+00	1.09E+00
TCGA_78_7145_01A	4.59E+00	4.29E+00	4.10E+00	7.30E-01	2.85E+00	2.28E+00	9.59E-01
TCGA_78_7146_01A	4.70E+00	3.54E+00	4.92E+00	1.45E+00	2.94E+00	2.93E+00	1.54E+00
TCGA_78_7147_01A	4.29E+00	4.82E+00	4.79E+00	1.31E+00	5.12E+00	3.50E+00	1.23E+00
TCGA_78_7153_01A	9.76E-01	1.32E+00	1.64E+00	9.01E-01	2.05E+00	2.14E+00	1.23E+00
TCGA_78_7158_01A	4.00E+00	3.99E+00	5.25E+00	1.05E+00	2.51E+00	2.63E+00	1.02E+00
TCGA_78_7159_01A	4.39E+00	4.33E+00	4.81E+00	6.69E-01	3.30E+00	2.03E+00	1.24E+00
TCGA_78_7161_01A	3.25E+00	3.43E+00	3.60E+00	5.72E-01	2.63E+00	2.30E+00	9.11E-01
TCGA_78_7220_01A	9.75E+00	9.90E+00	9.86E+00	1.96E+00	7.11E+00	6.17E+00	1.06E+00
TCGA_83_5908_01A	3.49E+00	3.07E+00	3.47E+00	1.13E+00	2.58E+00	1.60E+00	7.42E-01
TCGA_86_6851_01A	1.09E+01	1.01E+01	1.21E+01	1.90E+00	7.12E+00	5.11E+00	6.40E-01
TCGA_86_7954_01A	2.59E+00	3.41E+00	2.54E+00	1.18E+00	3.04E+00	2.88E+00	1.54E+00
TCGA_86_8056_01A	2.35E+00	3.15E+00	2.80E+00	1.48E+00	1.09E+00	2.23E+00	1.31E+00
TCGA_86_8074_01A	5.50E-01	1.52E+00	6.47E-01	4.39E-01	8.89E-01	1.82E+00	8.41E-01
TCGA_91_6830_01A	9.09E-01	1.31E+00	1.22E+00	1.33E+00	1.42E+00	1.23E+00	4.72E-01
TCGA_91_6836_01A	6.33E+00	6.24E+00	6.44E+00	9.52E-01	4.21E+00	3.45E+00	1.45E+00
TCGA_91_6840_01A	5.42E-01	5.29E-01	7.92E-01	1.13E+00	7.91E-01	9.65E-01	1.20E+00
TCGA_91_6847_01A	4.28E-01	1.04E+00	8.80E-01	6.83E-01	1.42E+00	1.73E+00	1.23E+00
TCGA_95_7039_01A	1.45E+01	1.23E+01	1.79E+01	1.84E+00	9.79E+00	6.37E+00	1.98E+00
TCGA_95_7043_01A	1.36E+01	1.58E+01	1.32E+01	1.68E+00	7.27E+00	4.79E+00	1.86E+00
TCGA_95_7948_01A	0.00E+00	1.00E-02	5.37E-02	4.66E-01	8.91E-02	0.00E+00	4.50E-01
TCGA_95_A4VK_01A	5.01E+00	5.58E+00	3.73E+00	5.04E-01	2.87E+00	2.48E+00	1.29E+00
TCGA_95_A4VN_01A	7.65E+00	7.46E+00	7.49E+00	1.09E+00	4.83E+00	2.90E+00	1.22E+00
TCGA_95_A4VP_01A	2.45E+00	2.27E+00	3.12E+00	3.54E-01	2.66E+00	1.44E+00	8.55E-01
TCGA_97_7547_01A	3.25E+00	3.21E+00	3.21E+00	1.14E+00	3.41E+00	1.60E+00	1.08E+00
TCGA_97_7553_01A	5.88E-01	5.59E-01	9.44E-01	2.80E-01	4.93E-01	9.24E-01	8.77E-01
TCGA_97_7941_01A	1.97E+00	1.60E+00	2.10E+00	5.21E-01	7.90E-01	7.87E-01	6.45E-01
TCGA_97_8175_01A	6.12E-01	5.52E-01	8.44E-01	2.75E-01	7.93E-01	8.22E-01	4.86E-01
TCGA_97_A4M0_01A	5.60E+00	5.75E+00	6.09E+00	1.37E+00	4.39E+00	3.20E+00	6.63E-01
TCGA_97_A4M1_01A	3.74E-01	5.05E-01	3.69E-01	5.46E-01	5.95E-01	8.07E-01	7.17E-01
TCGA_97_A4M3_01A	4.31E+00	3.11E+00	4.28E+00	1.04E+00	2.11E+00	1.47E+00	9.43E-01
TCGA_99_7458_01A	6.41E+00	5.61E+00	6.82E+00	8.72E-01	4.53E+00	3.01E+00	1.21E+00
TCGA_J2_8194_01A	1.66E+00	2.53E+00	2.86E+00	5.98E-01	2.49E+00	1.85E+00	1.10E+00
TCGA_J2_A4AD_01A	2.48E+00	3.10E+00	3.60E+00	2.03E+00	4.06E+00	2.97E+00	1.11E+00
TCGA_J2_A4AG_01A	1.75E+00	2.01E+00	1.97E+00	4.94E-01	7.28E-01	1.54E+00	9.48E-01
TCGA_L4_A4E5_01A	6.05E+00	6.03E+00	5.97E+00	7.20E-01	3.65E+00	2.91E+00	1.10E+00
TCGA_L9_A443_01A	4.02E+00	4.02E+00	4.36E+00	7.21E-01	3.00E+00	2.67E+00	8.98E-01
TCGA_L9_A444_01A	1.02E+01	1.08E+01	8.97E+00	1.01E+00	4.55E+00	3.62E+00	1.60E+00
TCGA_MP_A4T4_01A	6.91E+00	7.00E+00	5.98E+00	9.82E-01	4.72E+00	2.80E+00	1.35E+00
TCGA_MP_A4T9_01A	5.05E-01	9.21E-01	9.70E-01	4.72E-01	9.94E-01	1.16E+00	2.77E-01
TCGA_MP_A4TF_01A	6.37E+00	6.20E+00	6.26E+00	1.03E+00	3.80E+00	3.82E+00	1.29E+00
TCGA_MP_A4TH_01A	1.43E+00	2.47E+00	2.24E+00	1.20E-01	2.08E+00	2.07E+00	1.03E+00
TCGA_NJ_A4YQ_01A	1.34E+01	1.29E+01	1.40E+01	1.28E+00	7.92E+00	4.50E+00	2.10E+00
TCGA_NJ_A55O_01A	4.22E+00	2.65E+00	4.05E+00	5.37E-01	1.33E+00	1.31E+00	6.89E-01
TCGA_O1_A52J_01A	3.33E+00	2.94E+00	3.06E+00	6.33E-01	1.85E+00	1.63E+00	9.36E-01
