Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA_50_6595_01A	7.24E-01	1.21E+00	1.28E+00	8.68E-01	1.99E+00	8.01E-01
TCGA_53_7624_01A	7.52E+00	8.37E+00	6.62E+00	1.97E+00	5.48E+00	1.62E+00
TCGA_53_7813_01A	3.08E+00	3.48E+00	3.30E+00	1.30E-01	2.08E+00	9.82E-01
TCGA_55_6543_01A	4.98E-02	2.87E-01	3.63E-01	4.14E-02	4.48E-01	4.76E-01
TCGA_55_6970_01A	2.95E+00	3.20E+00	2.69E+00	5.81E-01	2.01E+00	1.09E+00
TCGA_55_6971_01A	1.31E+00	1.88E+00	2.16E+00	4.60E-01	1.97E+00	3.94E-01
TCGA_55_6979_01A	2.32E+00	2.57E+00	1.42E+00	9.21E-01	9.35E-01	5.37E-01
TCGA_55_6981_01A	2.15E-01	3.96E-01	4.24E-01	4.32E-01	1.01E+00	1.02E+00
TCGA_55_6985_01A	6.59E+00	6.51E+00	6.55E+00	8.33E-01	3.74E+00	1.41E+00
TCGA_55_7281_01A	9.04E+00	8.88E+00	4.89E+00	1.17E+00	4.64E+00	1.31E+00
TCGA_55_7573_01A	9.55E-01	1.21E+00	1.28E+00	5.00E-01	1.14E+00	2.87E-01
TCGA_55_7574_01A	3.87E+00	4.14E+00	2.02E+00	1.62E+00	2.16E+00	5.63E-01
TCGA_55_7725_01A	3.02E+00	3.17E+00	2.97E+00	2.94E-01	1.78E+00	7.06E-01
TCGA_55_7726_01A	3.52E-01	5.30E-01	1.13E+00	1.02E+00	7.97E-01	8.41E-01
TCGA_55_7728_01A	2.23E+00	2.21E+00	1.73E+00	3.34E-01	9.70E-01	8.75E-01
TCGA_55_7911_01A	4.13E+00	4.49E+00	3.01E+00	7.65E-01	2.74E+00	9.78E-01
TCGA_55_7914_01A	2.45E+00	3.26E+00	3.01E+00	7.95E-01	2.46E+00	1.67E+00
TCGA_55_7995_01A	7.27E+00	8.55E+00	7.71E+00	1.95E+00	5.49E+00	9.69E-01
TCGA_55_8096_01A	2.48E+00	2.98E+00	1.72E+00	6.36E-01	1.78E+00	8.18E-01
TCGA_55_8097_01A	1.55E+00	2.14E+00	1.58E+00	6.17E-01	2.08E+00	1.35E+00
TCGA_55_8203_01A	7.57E+00	7.85E+00	5.51E+00	5.38E-01	3.16E+00	1.57E+00
TCGA_55_8208_01A	2.65E+00	3.45E+00	3.55E+00	1.69E+00	3.73E+00	9.04E-01
TCGA_55_8299_01A	3.91E+00	4.38E+00	3.44E+00	6.11E-01	2.29E+00	8.51E-01
TCGA_55_8506_01A	1.61E+01	1.56E+01	1.59E+01	1.05E+00	6.34E+00	7.30E+00
TCGA_55_8510_01A	5.57E+00	5.58E+00	4.15E+00	1.00E+00	2.20E+00	8.85E-01
TCGA_55_8511_01A	5.89E+00	6.80E+00	5.16E+00	1.59E+00	4.30E+00	1.96E+00
TCGA_55_8616_01A	9.24E+00	9.82E+00	5.39E+00	1.04E+00	3.53E+00	1.44E+00
TCGA_55_A48X_01A	7.07E+00	7.68E+00	5.68E+00	1.12E+00	3.07E+00	8.74E-01
TCGA_55_A48Z_01A	7.14E-01	1.01E+00	1.33E+00	4.04E-01	1.19E+00	8.67E-01
TCGA_55_A492_01A	4.69E+00	5.00E+00	4.72E+00	7.79E-01	3.49E+00	1.26E+00
TCGA_55_A493_01A	4.06E+00	4.70E+00	4.58E+00	1.34E+00	2.81E+00	1.13E+00
