Samples	DBS78A	DBS78B	DBS78C
TCGA_55_A492_01A	4.22E-02	1.47E-01	1.47E-01
TCGA_55_A493_01A	2.24E-01	2.38E-01	2.50E-01
TCGA_55_A494_01A	1.64E-01	1.72E-01	1.86E-01
TCGA_62_A46O_01A	2.70E-01	2.28E-01	2.10E-01
TCGA_62_A46R_01A	4.02E-02	1.00E-02	4.09E-02
TCGA_64_1679_01A	1.91E-01	2.19E-01	1.62E-01
TCGA_64_5781_01A	2.86E-01	2.75E-01	2.98E-01
TCGA_67_3770_01A	1.16E-01	7.11E-02	1.21E-01
TCGA_67_3774_01A	0.00E+00	0.00E+00	0.00E+00
TCGA_67_6217_01A	9.78E-02	9.08E-02	4.19E-02
TCGA_69_7973_01A	2.51E-01	2.41E-01	2.21E-01
TCGA_69_7974_01A	3.28E-01	2.69E-01	2.85E-01
TCGA_69_7979_01A	5.37E-01	5.04E-01	5.71E-01
TCGA_69_7980_01A	4.70E-01	5.20E-01	5.75E-01
TCGA_73_4662_01A	0.00E+00	0.00E+00	0.00E+00
TCGA_73_4666_01A	2.11E-01	2.08E-01	1.68E-01
TCGA_73_4670_01A	1.16E-01	1.02E-01	7.61E-02
TCGA_73_7498_01A	4.41E-02	4.85E-02	4.85E-02
TCGA_78_7145_01A	9.65E-02	8.92E-02	7.71E-02
TCGA_78_7146_01A	1.45E-01	1.49E-01	1.48E-01
TCGA_78_7147_01A	8.16E-02	8.33E-02	6.95E-02
TCGA_78_7153_01A	3.14E-02	4.96E-02	4.65E-02
TCGA_78_7158_01A	1.14E-01	9.15E-02	9.69E-02
TCGA_78_7159_01A	2.69E-01	2.48E-01	2.38E-01
TCGA_78_7161_01A	9.02E-02	8.98E-02	5.84E-02
TCGA_78_7220_01A	2.76E-01	3.58E-01	2.64E-01
TCGA_83_5908_01A	1.11E-01	9.78E-02	8.58E-02
TCGA_86_6851_01A	3.29E-01	2.97E-01	2.38E-01
TCGA_86_8056_01A	0.00E+00	0.00E+00	0.00E+00
TCGA_91_6830_01A	1.02E-01	1.10E-01	1.21E-01
TCGA_91_6836_01A	2.08E-01	2.09E-01	1.48E-01
TCGA_91_6847_01A	5.45E-02	9.40E-02	9.58E-02
TCGA_95_7039_01A	3.39E-01	2.72E-01	2.65E-01
TCGA_95_7043_01A	2.97E-01	2.65E-01	2.90E-01
TCGA_95_7948_01A	4.02E-02	1.00E-02	4.09E-02
TCGA_95_A4VK_01A	1.64E-01	2.12E-01	2.17E-01
TCGA_95_A4VN_01A	3.20E-01	2.87E-01	2.38E-01
TCGA_95_A4VP_01A	8.13E-02	7.27E-02	6.80E-02
TCGA_97_7547_01A	1.59E-01	1.81E-01	1.59E-01
TCGA_97_8175_01A	4.46E-02	5.00E-02	4.51E-02
TCGA_97_A4M0_01A	8.25E-02	1.00E-02	8.29E-02
TCGA_97_A4M3_01A	1.71E-01	1.84E-01	1.32E-01
TCGA_99_7458_01A	1.87E-01	1.59E-01	1.45E-01
TCGA_J2_8194_01A	4.16E-02	5.00E-02	4.73E-02
TCGA_J2_A4AD_01A	2.62E-01	2.59E-01	2.28E-01
TCGA_J2_A4AG_01A	9.17E-02	8.33E-02	7.56E-02
TCGA_L4_A4E5_01A	1.44E-01	1.19E-01	1.41E-01
TCGA_L9_A443_01A	2.62E-01	1.46E-01	2.43E-01
TCGA_L9_A444_01A	2.02E-01	1.42E-01	1.47E-01
TCGA_MP_A4T4_01A	1.50E-01	1.55E-01	1.66E-01
TCGA_MP_A4TF_01A	3.05E-01	1.83E-01	2.85E-01
TCGA_MP_A4TH_01A	0.00E+00	0.00E+00	0.00E+00
TCGA_NJ_A4YQ_01A	3.38E-01	3.63E-01	3.05E-01
TCGA_NJ_A55O_01A	1.40E-01	1.40E-01	1.12E-01
TCGA_O1_A52J_01A	1.07E-01	8.69E-02	9.26E-02
