Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
TCGA_49_4488_01A	3.91E-01	9.43E-02	4.35E-01	1.52E-01	1.42E-01	1.26E-01
TCGA_49_4490_01A	6.26E-02	0.00E+00	1.21E-01	1.24E-01	1.40E-01	1.12E-01
TCGA_49_4505_01A	2.06E-01	9.64E-02	2.20E-01	2.72E-01	5.14E-02	2.84E-01
TCGA_49_4506_01A	1.74E-01	2.06E-01	1.88E-01	2.16E-01	7.87E-02	1.47E-01
TCGA_49_4507_01A	1.90E-01	5.74E-02	2.51E-01	2.27E-01	9.42E-02	1.48E-01
TCGA_49_6744_01A	2.81E-01	0.00E+00	3.08E-01	2.57E-01	1.23E-01	1.24E-01
TCGA_49_6761_01A	9.47E-02	1.41E-02	7.77E-02	1.78E-01	9.13E-02	1.84E-01
TCGA_49_6767_01A	3.99E-01	6.87E-02	4.36E-01	2.80E-01	1.12E-01	1.90E-01
TCGA_50_5051_01A	2.37E-01	0.00E+00	1.76E-01	2.34E-01	1.89E-01	2.05E-01
TCGA_50_5941_01A	5.58E-01	3.15E-02	6.45E-01	6.42E-01	2.87E-01	4.31E-01
TCGA_50_5942_01A	1.46E-01	8.99E-02	1.08E-01	1.59E-01	4.19E-02	1.30E-01
TCGA_50_6590_01A	5.55E-01	0.00E+00	5.67E-01	5.13E-01	3.01E-01	4.68E-01
TCGA_50_6592_01A	2.74E-01	6.03E-02	2.54E-01	3.10E-01	3.29E-01	2.32E-01
TCGA_50_6593_01A	2.93E-01	2.07E-01	2.98E-01	2.74E-01	1.35E-01	1.54E-01
TCGA_50_6595_01A	1.22E-01	0.00E+00	1.09E-01	1.42E-01	2.00E-02	1.49E-01
TCGA_53_7624_01A	5.12E-01	1.00E-02	4.66E-01	4.50E-01	2.30E-01	2.65E-01
TCGA_53_7813_01A	2.32E-01	0.00E+00	2.37E-01	1.93E-01	1.32E-01	1.71E-01
TCGA_55_6543_01A	2.97E-02	0.00E+00	5.37E-02	5.29E-02	7.02E-02	7.57E-02
TCGA_55_6970_01A	1.89E-01	0.00E+00	2.00E-01	1.10E-01	3.00E-02	5.57E-02
TCGA_55_6971_01A	1.72E-01	0.00E+00	1.72E-01	1.21E-01	4.04E-02	1.24E-01
TCGA_55_6979_01A	1.84E-01	0.00E+00	2.16E-01	1.91E-01	8.57E-02	1.40E-01
TCGA_55_6981_01A	1.28E-01	0.00E+00	1.00E-01	1.08E-01	7.53E-02	1.56E-01
TCGA_55_6985_01A	4.09E-01	0.00E+00	4.29E-01	3.19E-01	1.84E-01	1.42E-01
TCGA_55_7281_01A	3.77E-01	0.00E+00	3.55E-01	3.24E-01	2.65E-01	1.28E-01
TCGA_55_7573_01A	1.83E-01	0.00E+00	1.82E-01	7.61E-02	6.45E-02	1.53E-01
TCGA_55_7574_01A	2.72E-01	8.89E-02	2.13E-01	1.88E-01	1.02E-01	1.53E-01
TCGA_55_7725_01A	3.40E-01	0.00E+00	2.97E-01	2.19E-01	1.71E-01	1.51E-01
TCGA_55_7726_01A	1.14E-01	0.00E+00	6.31E-02	8.41E-02	1.14E-01	7.44E-02
TCGA_55_7728_01A	4.65E-02	0.00E+00	4.72E-02	7.94E-02	7.12E-02	8.56E-02
TCGA_55_7911_01A	3.04E-01	0.00E+00	1.71E-01	2.30E-01	1.73E-01	2.48E-01
TCGA_55_7914_01A	5.45E-02	0.00E+00	1.48E-01	1.06E-01	1.58E-01	1.17E-01
TCGA_55_7995_01A	2.43E-01	0.00E+00	4.18E-01	3.65E-01	1.90E-01	3.78E-01
TCGA_55_8096_01A	1.32E-01	1.17E-01	1.33E-01	5.45E-02	3.71E-02	1.49E-01
TCGA_55_8097_01A	1.93E-01	8.77E-02	1.54E-01	2.03E-01	6.01E-02	1.18E-01
TCGA_55_8203_01A	3.34E-01	9.68E-02	2.83E-01	2.38E-01	2.10E-01	2.25E-01
TCGA_55_8208_01A	2.56E-01	0.00E+00	1.51E-01	2.28E-01	8.10E-02	2.40E-01
TCGA_55_8299_01A	2.17E-01	0.00E+00	1.98E-01	1.02E-01	5.10E-02	1.28E-01
TCGA_55_8506_01A	4.59E-01	0.00E+00	1.53E+00	1.00E+00	1.97E+00	6.72E-01
TCGA_55_8510_01A	4.53E-01	0.00E+00	3.68E-01	4.17E-01	2.48E-01	2.15E-01
TCGA_55_8511_01A	5.36E-01	1.41E-02	6.35E-01	4.70E-01	2.42E-01	3.46E-01
TCGA_55_8616_01A	3.13E-01	5.48E-01	2.00E-01	2.23E-01	0.00E+00	4.18E-01
TCGA_55_A48X_01A	1.24E-01	2.96E-01	1.86E-01	3.20E-01	6.26E-02	2.93E-01
TCGA_55_A48Z_01A	1.71E-02	0.00E+00	1.41E-02	0.00E+00	1.00E-02	2.39E-02
