MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
AT>CG	0.000602167863395528	8.731443097451219e-05	8.242558154395809e-05	4.823149938613669e-05	0.000223801558200001	9.600462165017143e-05	0.00023105825559014193	0.0004902745343888624
AT>GA	0.0006020062016098593	8.738028143055131e-05	8.24791852740572e-05	4.850856965059918e-05	0.00022660009208437385	9.56995029035177e-05	0.00023107351941689558	0.0004931711500592985
AT>GC	0.0006029822356897161	8.748130255376906e-05	8.231710742126237e-05	4.759139308493243e-05	0.00022448179450804275	9.573164095293574e-05	0.000231079892141679	0.0004926838868895116
AT>TA	0.0006013539841148628	8.739288458921024e-05	8.258166395999189e-05	4.7743702499341197e-05	0.0002272508979207085	9.571630343973042e-05	0.0002310824061578387	0.00049454350492242
CC>AA	0.5219618669861377	2.2002617859687462e-05	0.9906597465276719	0.009084132103652866	0.013369256243746274	0.0005830935582375025	0.03987369282787826	0.08625742580562427
CC>AG	0.0006020868546060423	8.736216194654033e-05	8.244927010826098e-05	4.7749228049460256e-05	0.00022630720631091963	9.595056922470895e-05	0.00023108374161893153	0.0004888093621519701
CC>AT	0.0006031174071497348	8.738935576145579e-05	8.222243481721563e-05	4.787635282368572e-05	0.0002295113596434164	9.580079601162972e-05	0.00023108285130547302	0.000494631951781961
CC>GA	0.0006023573916814967	8.740987742758221e-05	8.234684816773581e-05	4.7396319084853705e-05	0.00022475210875485673	9.564136311630389e-05	0.00023108314419005184	0.0004957937120888
CC>GG	0.0006015398434456829	8.713003841714695e-05	8.253750571900472e-05	4.802129289715006e-05	0.00022621493405604814	9.61181598640548e-05	0.0002310782887707319	0.000489928257830079
CC>GT	0.2609667749278673	3.407316492657475e-05	0.003366361910804458	0.559101745717835	0.04646646251568241	0.009541336741654667	0.010065681967210242	0.02888239193447402
CC>TA	0.0006020639435641349	8.743188651138212e-05	8.242708975525268e-05	4.8443720927477604e-05	0.0002249407426454271	9.597886204166351e-05	0.00023108350316761061	0.00048763820985504527
CC>TG	0.0006028192160259846	8.731328815363426e-05	8.225582295946173e-05	4.770181666348301e-05	0.000225134189018397	9.570896741605078e-05	0.00023107170099592622	0.0004969352688668889
CC>TT	0.0006017616219416767	8.716841253766816e-05	8.24217530214424e-05	4.809717955515827e-05	0.00022514444934508928	9.590571474268394e-05	0.0002310811764209575	0.0004944619579443214
CG>AT	0.0006034226694477419	8.735417025855341e-05	8.214593198267842e-05	4.892475532423128e-05	0.00022788055388876834	9.573390340800154e-05	0.000231078455090028	0.0005017987087420249
CG>GC	0.0006024901279579314	8.708723759678349e-05	8.240106958615121e-05	4.784928575680898e-05	0.00022682807428880562	9.572521837044268e-05	0.0002310824807091194	0.0004970332256492376
CG>GT	0.0006029589548678032	8.742900865275515e-05	8.234573050069037e-05	4.7551511837257866e-05	0.00022821231982590208	9.52347059503078e-05	0.00023108255259103317	0.0004988937203833218
CG>TA	0.0006019501268072705	8.725557057594813e-05	8.2383444428714e-05	4.853255590112616e-05	0.00022608721944216833	9.619434454702036e-05	0.0002310816085218903	0.0004921613978083996
CG>TC	0.0006027222459801533	8.717719384758738e-05	8.225803776433269e-05	4.740099808151122e-05	0.0002309553989633871	9.580956058507221e-05	0.00023108352652343456	0.0004948689263532999
CG>TT	0.0006025412962666312	8.737167079068797e-05	8.242244357575683e-05	4.761387235718989e-05	0.0002257989331645387	9.53958317134207e-05	0.00023108266509552777	0.0004940790984517031
CT>AA	0.0006022242375398879	8.731903756974191e-05	8.240103359655426e-05	4.834567713728785e-05	0.00022553384340366043	9.584204314640688e-05	0.0002310836580409159	0.0004889959284201255
CT>AC	0.0006027576309306403	8.723713278431689e-05	8.229297406615986e-05	4.744191807991059e-05	0.0002260702924165239	9.55728158366003e-05	0.00023108295466045092	0.0004975076471834526
CT>AG	0.0006016007111500981	8.735888424778793e-05	8.248480395507269e-05	4.852255920993366e-05	0.00022525666243340036	9.557379874675004e-05	0.00023108201452487265	0.0004929043092398608
CT>GA	0.0006020453622981131	8.734190770738337e-05	8.23510704084583e-05	4.8055652414559666e-05	0.0002258108108665173	9.575763366382023e-05	0.0002310834641002657	0.0004939571651852552
CT>GC	0.000602087692108082	8.735086782875712e-05	8.25160034651323e-05	4.738899811677963e-05	0.00023002863067975006	9.574763336966108e-05	0.00023108203600259004	0.0004961298862284683
CT>GG	0.0004432565648826568	4.948125896377229e-05	4.619788919544913e-05	0.4145331038456848	0.025670854343982984	6.958917068616219e-05	0.013478686189459304	0.045772529721877835
CT>TA	0.00038183445619950184	2.3013073514611724e-05	1.0207726168176391e-05	0.0066555391116885805	0.7943596748367264	0.05298205580865368	0.034817130576545105	0.00029793960233553724
CT>TC	5.350380187832553e-05	2.2110137130528294e-05	1.0926891904185273e-05	0.006652864461969379	5.8003969243922217e-05	0.023210324646846168	0.8751601410386463	0.00022080412630418077
CT>TG	0.0006022216767720005	8.742715032726167e-05	8.240774596884751e-05	4.777203870854358e-05	0.00022689508504911853	9.555745792759362e-05	0.00023108303421849995	0.0004948760212631269
GC>AA	0.16363465268206887	0.9916450464725495	4.275043956598812e-05	0.0005554228369012095	0.10395712273285054	6.481485924328169e-05	0.010152435116031415	0.7837056496156566
GC>AG	0.0006019413929960453	8.737981312266996e-05	8.236000549936915e-05	4.7503590217335254e-05	0.00022619020631817823	9.555566721694588e-05	0.00023108329645310733	0.0004935688252814978
GC>AT	0.0006029907299034517	8.729528202273684e-05	8.223964871809996e-05	4.844498988475825e-05	0.0002248378672490588	9.573352665463997e-05	0.00023108241921818262	0.0004941824025408505
GC>CA	0.0006017101316742033	8.722782837562448e-05	8.250988769115103e-05	4.840199667823597e-05	0.00022579905618778817	9.549135352234367e-05	0.00023108238382064884	0.00049785592834882
GC>CG	0.0006014122936771285	8.731244006435546e-05	8.256678205283042e-05	4.757331905093863e-05	0.00022491794959961974	9.5578745705307e-05	0.0002310807607136667	0.0004996444307023231
GC>TA	0.0006020413796933418	8.729252465832005e-05	8.240784380204806e-05	4.811389291504053e-05	0.0002270141593230992	9.60610775989884e-05	0.00023108305018922692	0.0004922533951530971
TA>AT	0.0006015696982565883	8.738923072360904e-05	8.24754963924826e-05	4.7619514644467714e-05	0.0002260508005525242	9.584617760892255e-05	0.00023108356294414988	0.0004926925234904095
TA>CG	0.0006016760959556653	8.73385688902495e-05	8.24498889517276e-05	4.854065276622017e-05	0.00022870784636115862	9.549664797333656e-05	0.00023108249152301141	0.0004957328897984345
TA>CT	0.0006023905265925789	8.728272094982615e-05	8.2454538945579e-05	4.9500869118036746e-05	0.00022496471576721505	9.571755208338472e-05	0.00023105159551732867	0.0004935876611496427
