Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
TCGA_44_7670_01A	0.00E+00	6.19E-01	3.37E-01	4.23E-01	4.80E-01	4.31E-01	4.97E-01	3.08E-01	4.20E-01
TCGA_44_7672_01A	9.05E-02	1.82E-01	1.40E-01	1.64E-01	1.53E-01	2.33E-01	1.76E-01	2.28E-01	1.15E-01
TCGA_44_8117_01A	0.00E+00	4.73E-01	4.26E-01	1.60E-01	2.50E-01	1.73E-01	3.27E-01	2.05E-01	1.88E-01
TCGA_44_A47G_01A	2.91E-01	3.59E-02	5.91E-02	1.35E-01	1.33E-01	1.78E-01	1.48E-01	1.77E-01	2.01E-01
TCGA_44_A4SU_01A	3.00E-02	1.66E-01	9.65E-02	0.00E+00	6.87E-02	6.09E-02	3.00E-02	1.01E-01	1.31E-01
TCGA_49_4487_01A	0.00E+00	3.19E-01	2.61E-01	9.99E-02	2.46E-01	2.18E-01	1.56E-01	3.75E-01	3.98E-01
TCGA_49_4488_01A	9.14E-02	2.40E-01	3.57E-01	1.26E-01	2.65E-01	8.45E-02	1.53E-01	7.35E-02	1.38E-01
TCGA_49_4490_01A	0.00E+00	4.14E-02	1.06E-01	1.09E-01	7.19E-02	9.63E-02	8.62E-02	7.98E-02	9.49E-02
TCGA_49_4505_01A	9.64E-02	1.91E-01	1.23E-01	2.00E-02	1.01E-01	1.73E-01	1.22E-01	2.39E-01	2.24E-01
TCGA_49_4506_01A	1.78E-01	1.32E-01	1.31E-01	4.33E-02	1.09E-01	1.39E-01	2.11E-01	9.46E-02	1.44E-01
TCGA_49_4507_01A	1.41E-02	1.30E-01	1.88E-01	4.38E-02	1.16E-01	1.76E-01	1.28E-01	9.40E-02	1.10E-01
TCGA_49_6744_01A	0.00E+00	1.96E-01	2.05E-01	7.60E-02	2.44E-01	1.32E-01	1.13E-01	8.08E-02	1.42E-01
TCGA_49_6761_01A	0.00E+00	1.71E-02	3.94E-02	4.93E-02	6.33E-02	1.78E-01	1.34E-01	1.55E-01	7.15E-02
TCGA_49_6767_01A	3.12E-02	3.01E-01	3.09E-01	4.64E-02	3.08E-01	2.46E-01	1.90E-01	1.71E-01	1.84E-01
TCGA_50_5051_01A	0.00E+00	1.62E-01	8.42E-02	1.28E-01	1.62E-01	1.95E-01	1.64E-01	1.29E-01	1.92E-01
TCGA_50_5941_01A	4.00E-02	2.85E-01	3.95E-01	2.76E-01	4.51E-01	5.14E-01	2.46E-01	2.47E-01	2.90E-01
TCGA_50_5942_01A	8.98E-02	1.22E-01	8.11E-02	4.38E-02	5.69E-02	1.45E-01	3.55E-02	6.20E-02	6.15E-02
TCGA_50_6590_01A	0.00E+00	3.73E-01	3.76E-01	2.05E-01	4.66E-01	2.58E-01	2.46E-01	3.10E-01	4.21E-01
TCGA_50_6592_01A	1.41E-02	1.95E-01	1.74E-01	2.88E-01	2.16E-01	2.49E-01	3.02E-01	1.17E-01	1.34E-01
TCGA_50_6593_01A	1.78E-01	1.96E-01	2.69E-01	1.18E-01	1.57E-01	2.24E-01	2.16E-01	1.40E-01	1.57E-01
TCGA_50_6595_01A	0.00E+00	1.01E-01	3.43E-02	0.00E+00	2.00E-02	1.09E-01	0.00E+00	1.18E-01	1.43E-01
TCGA_53_7624_01A	0.00E+00	3.53E-01	2.79E-01	2.33E-01	3.53E-01	3.04E-01	2.78E-01	1.40E-01	3.28E-01
TCGA_53_7813_01A	0.00E+00	1.71E-01	1.89E-01	1.19E-01	1.24E-01	1.23E-01	1.31E-01	1.08E-01	1.52E-01
TCGA_55_6543_01A	0.00E+00	1.00E-02	3.67E-02	6.47E-02	5.39E-02	4.50E-02	4.79E-02	7.00E-02	3.33E-02
TCGA_55_6970_01A	0.00E+00	1.58E-01	1.39E-01	1.00E-02	1.36E-01	6.60E-02	8.99E-02	3.71E-02	6.01E-02
TCGA_55_6971_01A	0.00E+00	1.22E-01	1.59E-01	4.82E-02	1.44E-01	5.13E-02	8.31E-02	1.10E-01	4.47E-02
TCGA_55_6979_01A	0.00E+00	1.56E-01	1.70E-01	7.02E-02	1.93E-01	1.19E-01	8.74E-02	8.02E-02	9.69E-02
TCGA_55_6981_01A	0.00E+00	1.07E-01	3.55E-02	5.51E-02	2.43E-02	4.85E-02	3.62E-02	1.32E-01	1.23E-01
TCGA_55_6985_01A	0.00E+00	3.23E-01	2.46E-01	1.26E-01	3.16E-01	2.65E-01	1.96E-01	8.97E-02	2.29E-01
TCGA_55_7281_01A	0.00E+00	2.95E-01	2.67E-01	2.31E-01	2.35E-01	2.12E-01	2.23E-01	6.92E-02	1.57E-01
TCGA_55_7573_01A	0.00E+00	1.52E-01	1.48E-01	5.67E-02	1.04E-01	5.51E-02	7.18E-02	1.45E-01	4.79E-02
TCGA_55_7574_01A	3.89E-02	2.09E-01	1.64E-01	6.08E-02	1.32E-01	7.77E-02	1.73E-01	1.01E-01	1.39E-01
TCGA_55_7725_01A	0.00E+00	2.60E-01	2.12E-01	1.46E-01	1.66E-01	1.47E-01	1.40E-01	1.46E-01	1.77E-01
TCGA_55_7726_01A	0.00E+00	1.15E-01	5.70E-02	1.08E-01	6.26E-02	6.83E-02	8.49E-02	7.29E-02	4.93E-02
TCGA_55_7728_01A	0.00E+00	2.97E-02	2.00E-02	5.39E-02	4.18E-02	6.13E-02	4.35E-02	7.41E-02	8.80E-02
TCGA_55_7911_01A	0.00E+00	2.52E-01	1.28E-01	1.64E-01	1.27E-01	1.58E-01	1.23E-01	1.86E-01	2.04E-01
TCGA_55_7914_01A	0.00E+00	3.71E-02	1.11E-01	1.31E-01	1.24E-01	3.43E-02	6.03E-02	1.11E-01	6.20E-02
TCGA_55_7995_01A	1.00E-02	1.26E-01	3.10E-01	1.24E-01	3.70E-01	2.69E-01	1.24E-01	2.70E-01	1.65E-01
TCGA_55_8096_01A	1.21E-01	1.18E-01	1.22E-01	0.00E+00	5.64E-02	6.36E-02	4.58E-02	1.38E-01	7.09E-02
TCGA_55_8097_01A	6.09E-02	1.55E-01	1.10E-01	3.79E-02	1.53E-01	1.03E-01	1.36E-01	6.62E-02	9.42E-02
TCGA_55_8203_01A	9.68E-02	2.59E-01	2.61E-01	1.46E-01	2.08E-01	1.84E-01	2.16E-01	1.45E-01	1.64E-01
TCGA_55_8208_01A	0.00E+00	2.00E-01	1.52E-01	6.72E-02	9.52E-02	2.11E-01	6.04E-02	2.22E-01	5.18E-02
TCGA_55_8299_01A	0.00E+00	1.65E-01	1.28E-01	1.41E-02	7.90E-02	7.23E-02	7.43E-02	1.05E-01	1.28E-01
TCGA_55_8506_01A	0.00E+00	3.89E-01	7.91E-01	2.71E+00	1.60E+00	5.26E-01	1.76E+00	7.20E-01	1.39E+00
TCGA_55_8510_01A	0.00E+00	2.89E-01	2.02E-01	2.05E-01	3.04E-01	2.85E-01	2.65E-01	1.13E-01	2.13E-01
TCGA_55_8511_01A	2.00E-02	2.78E-01	4.34E-01	8.66E-02	5.64E-01	1.94E-01	2.40E-01	8.36E-02	2.54E-01
TCGA_55_8616_01A	2.85E+00	2.10E-01	2.81E-01	0.00E+00	6.30E-01	1.33E+00	2.61E+00	4.45E-01	4.62E-01
TCGA_55_A48X_01A	2.93E-01	6.08E-02	1.17E-01	4.00E-02	1.81E-01	1.85E-01	2.68E-01	2.53E-01	1.23E-01
TCGA_55_A48Z_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.71E-02	0.00E+00	1.71E-02	0.00E+00
TCGA_55_A492_01A	1.32E+00	4.41E-01	1.68E-01	2.69E-01	1.33E-01	9.33E-01	3.47E-01	2.44E-01	1.22E+00
TCGA_55_A493_01A	7.26E-01	1.77E-01	4.19E-01	1.15E-01	1.55E-01	3.55E-01	2.67E-01	2.40E-01	4.87E-01
TCGA_55_A494_01A	0.00E+00	1.44E-01	1.74E-01	1.39E-01	9.31E-02	1.39E-01	1.87E-01	1.56E-01	1.79E-01
TCGA_62_A46O_01A	1.31E+00	5.64E-01	8.37E-01	3.77E-01	5.30E-01	1.12E+00	7.59E-01	3.05E-01	3.01E-01
TCGA_62_A46R_01A	9.74E-02	2.06E-01	2.05E-01	1.21E-01	2.16E-01	2.16E-01	2.47E-01	4.29E-02	1.35E-01
TCGA_64_1679_01A	0.00E+00	4.74E-01	4.81E-01	7.91E-02	2.68E-01	2.51E-01	2.89E-01	1.36E-01	5.22E-01
TCGA_64_1681_01A	0.00E+00	8.13E-02	7.57E-02	1.93E-01	1.14E-01	1.36E-01	1.42E-01	8.44E-02	1.06E-01
TCGA_64_5781_01A	0.00E+00	6.34E-01	6.82E-01	3.42E-01	5.47E-01	2.72E-01	3.22E-01	2.10E-01	3.72E-01
TCGA_67_3770_01A	1.22E-01	2.10E-01	1.07E-01	1.11E-01	1.59E-01	1.28E-01	1.66E-01	5.45E-02	1.02E-01
TCGA_67_3774_01A	0.00E+00	7.57E-02	7.52E-02	1.19E-01	1.48E-01	2.10E-01	1.64E-01	1.34E-01	1.80E-01
TCGA_67_6217_01A	5.51E-02	1.49E-01	8.02E-02	7.74E-02	1.08E-01	1.54E-01	1.95E-01	1.33E-01	1.01E-01
TCGA_69_7973_01A	0.00E+00	1.72E-01	2.69E-01	1.84E-01	2.97E-01	2.01E-01	1.76E-01	1.51E-01	1.97E-01
TCGA_69_7974_01A	0.00E+00	2.77E-01	3.69E-01	3.29E-01	2.88E-01	2.09E-01	3.11E-01	1.98E-01	3.18E-01
TCGA_69_7979_01A	2.06E-01	5.68E-01	5.32E-01	2.16E-01	4.45E-01	3.21E-01	5.38E-01	3.40E-01	4.24E-01
TCGA_69_7980_01A	8.70E-02	4.82E-01	4.90E-01	1.95E-01	3.71E-01	3.66E-01	2.96E-01	2.83E-01	2.40E-01
TCGA_73_4662_01A	0.00E+00	2.49E-01	2.19E-01	1.41E-02	2.45E-01	1.05E-01	1.14E-01	1.91E-01	8.42E-02
TCGA_73_4666_01A	0.00E+00	2.94E-01	2.62E-01	9.51E-02	1.66E-01	1.47E-01	1.29E-01	1.55E-01	1.79E-01
TCGA_73_4670_01A	1.01E-01	3.38E-01	3.35E-01	2.17E-01	5.02E-01	5.10E-01	3.27E-01	2.03E-01	2.86E-01
TCGA_73_7498_01A	0.00E+00	1.28E-01	8.60E-02	9.95E-02	8.90E-02	1.45E-01	1.09E-01	1.36E-01	6.64E-02
TCGA_78_7145_01A	0.00E+00	1.08E-01	2.78E-02	1.85E-01	1.06E-01	1.61E-01	1.81E-01	5.98E-02	6.67E-02
TCGA_78_7146_01A	8.76E-02	2.23E-01	2.69E-01	5.98E-02	1.08E-01	1.88E-01	1.11E-01	1.38E-01	2.00E-01
TCGA_78_7147_01A	0.00E+00	3.52E-01	2.41E-01	2.08E-01	2.38E-01	2.65E-01	2.39E-01	1.37E-01	2.63E-01
TCGA_78_7153_01A	0.00E+00	1.15E-01	2.43E-02	0.00E+00	3.30E-02	1.29E-01	0.00E+00	1.76E-01	1.24E-01
TCGA_78_7158_01A	0.00E+00	2.97E-01	1.82E-01	6.83E-02	8.02E-02	1.68E-01	1.26E-01	2.23E-01	2.01E-01
TCGA_78_7159_01A	0.00E+00	2.45E-01	2.68E-01	2.08E-01	3.06E-01	2.91E-01	3.35E-01	3.39E-01	2.42E-01
TCGA_78_7161_01A	0.00E+00	2.09E-01	1.75E-01	1.53E-01	1.13E-01	1.02E-01	1.16E-01	1.22E-01	1.15E-01
TCGA_78_7220_01A	1.20E-01	6.04E-01	5.02E-01	2.07E-01	4.25E-01	2.59E-01	3.17E-01	2.65E-01	1.65E-01
TCGA_83_5908_01A	0.00E+00	2.10E-01	2.00E-01	1.00E-02	1.06E-01	1.25E-01	4.73E-02	8.40E-02	1.23E-01
TCGA_86_6851_01A	0.00E+00	6.01E-01	5.47E-01	1.57E-01	2.89E-01	4.11E-01	2.27E-01	1.88E-01	3.32E-01
TCGA_86_7954_01A	9.26E-02	2.05E-01	1.57E-01	8.81E-02	6.21E-02	8.18E-02	1.17E-01	7.33E-02	1.24E-01
TCGA_86_8056_01A	0.00E+00	1.42E-01	9.33E-02	1.30E-01	1.67E-01	8.09E-02	1.30E-01	1.17E-01	9.68E-02
TCGA_86_8074_01A	0.00E+00	5.30E-02	6.46E-02	8.05E-02	7.99E-02	7.01E-02	1.13E-01	1.56E-01	1.15E-01
TCGA_91_6830_01A	0.00E+00	1.42E-01	1.95E-01	2.15E-01	1.43E-01	1.81E-01	1.57E-01	7.78E-02	1.88E-01
TCGA_91_6836_01A	0.00E+00	9.14E-02	2.61E-01	1.42E-01	2.35E-01	1.91E-01	1.93E-01	1.14E-01	2.50E-01
TCGA_91_6840_01A	0.00E+00	1.12E-01	5.69E-02	1.45E-01	7.07E-02	1.02E-01	8.37E-02	1.40E-01	1.13E-01
TCGA_91_6847_01A	0.00E+00	1.39E-01	6.37E-02	8.91E-02	1.02E-01	1.31E-01	9.95E-02	1.41E-01	2.12E-01
TCGA_95_7039_01A	1.24E-01	6.75E-01	9.12E-01	5.22E-01	6.35E-01	6.43E-01	5.54E-01	2.50E-01	5.72E-01
TCGA_95_7043_01A	9.22E-02	9.15E-01	7.84E-01	4.08E-01	6.74E-01	5.49E-01	5.23E-01	1.92E-01	5.34E-01
TCGA_95_7948_01A	0.00E+00	1.22E-01	1.13E-01	9.00E-02	1.10E-01	7.95E-02	9.78E-02	1.65E-01	1.22E-01
TCGA_95_A4VK_01A	9.63E-02	1.94E-01	2.06E-01	0.00E+00	9.07E-02	0.00E+00	0.00E+00	7.26E-02	4.00E-02
TCGA_95_A4VN_01A	0.00E+00	3.04E-01	4.29E-01	9.48E-02	2.23E-01	3.33E-01	3.38E-01	2.39E-01	3.84E-01
TCGA_95_A4VP_01A	2.39E-02	1.23E-01	8.65E-02	0.00E+00	5.75E-02	8.65E-02	1.06E-01	1.17E-01	6.40E-02
TCGA_97_7547_01A	0.00E+00	1.32E-01	8.91E-02	3.83E-02	1.12E-01	1.91E-01	1.06E-01	1.66E-01	1.70E-01
TCGA_97_7553_01A	9.84E-02	3.26E-02	8.35E-02	2.00E-02	9.08E-02	1.61E-01	7.01E-02	2.09E-01	1.45E-01
TCGA_97_7941_01A	8.20E-02	1.45E-01	6.09E-02	7.77E-02	6.61E-02	7.12E-02	1.12E-01	1.46E-01	8.18E-02
TCGA_97_8175_01A	0.00E+00	3.89E-02	2.43E-02	0.00E+00	4.79E-02	8.42E-02	4.18E-02	6.52E-02	6.62E-02
TCGA_97_A4M0_01A	0.00E+00	3.31E-01	3.00E-01	2.73E-01	4.14E-01	1.07E-01	1.18E-01	5.06E-02	1.29E-01
TCGA_97_A4M1_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.71E-02	0.00E+00	1.71E-02	0.00E+00
TCGA_97_A4M3_01A	9.43E-02	1.75E-01	1.13E-01	6.20E-02	9.91E-02	1.03E-01	1.18E-01	5.57E-02	8.23E-02
TCGA_99_7458_01A	0.00E+00	3.46E-01	4.29E-01	1.86E-01	2.83E-01	2.70E-01	1.50E-01	2.27E-01	2.19E-01
TCGA_J2_8194_01A	0.00E+00	1.06E-01	9.33E-02	2.00E-02	7.90E-02	7.02E-02	4.77E-02	1.20E-01	2.73E-02
TCGA_J2_A4AD_01A	0.00E+00	3.12E-01	2.31E-01	8.03E-02	2.18E-01	1.11E-01	2.05E-01	3.26E-01	2.88E-01
TCGA_J2_A4AG_01A	0.00E+00	2.13E-01	6.26E-02	1.38E-01	1.78E-01	1.54E-01	1.90E-01	1.36E-01	1.63E-01
TCGA_L4_A4E5_01A	0.00E+00	1.83E-01	1.99E-01	0.00E+00	1.09E-01	8.19E-02	5.57E-02	4.14E-02	1.05E-01
TCGA_L9_A443_01A	2.39E-01	2.37E-01	9.61E-02	1.98E-01	1.48E-01	1.55E-01	2.71E-01	1.76E-01	1.83E-01
TCGA_L9_A444_01A	2.88E-01	2.83E-01	4.43E-01	3.89E-01	3.12E-01	3.19E-01	4.06E-01	1.47E-01	3.65E-01
TCGA_MP_A4T4_01A	0.00E+00	3.00E-01	3.90E-01	1.56E-01	3.61E-01	2.56E-01	1.56E-01	7.93E-02	2.32E-01
TCGA_MP_A4T9_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.71E-02	0.00E+00	1.71E-02	0.00E+00
TCGA_MP_A4TF_01A	0.00E+00	2.58E-01	2.64E-01	1.34E-01	1.04E-01	2.02E-01	1.35E-01	2.31E-01	3.36E-01
TCGA_MP_A4TH_01A	0.00E+00	1.83E-01	2.20E-01	0.00E+00	1.36E-01	1.00E-02	2.00E-02	1.10E-01	5.00E-02
TCGA_NJ_A4YQ_01A	0.00E+00	7.18E-01	8.21E-01	3.49E-01	6.54E-01	4.92E-01	4.46E-01	2.29E-01	4.85E-01
TCGA_NJ_A55O_01A	0.00E+00	1.73E-01	1.82E-01	4.64E-02	8.80E-02	1.45E-01	9.89E-02	5.51E-02	1.03E-01
TCGA_O1_A52J_01A	0.00E+00	1.29E-01	8.82E-02	5.39E-02	1.76E-01	1.96E-01	1.40E-01	1.48E-01	1.63E-01
