MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
4:Ins:R:5	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
5:Ins:R:0	8.03E-03	2.49E-03	6.59E-03	1.04E-02	1.00E-02	1.67E-03	2.32E-03	7.26E-03
5:Ins:R:1	1.27E-03	5.08E-03	4.26E-03	5.46E-03	1.02E-03	3.14E-04	4.11E-03	7.18E-03
5:Ins:R:2	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
5:Ins:R:3	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
5:Ins:R:4	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
5:Ins:R:5	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
2:Del:M:1	2.13E-03	4.18E-03	2.82E-03	4.71E-03	2.05E-03	5.75E-03	1.54E-02	3.48E-03
3:Del:M:1	1.25E-03	1.64E-03	8.10E-04	2.27E-03	2.87E-03	1.27E-03	2.19E-03	1.98E-03
3:Del:M:2	1.54E-04	1.05E-03	7.20E-04	2.41E-03	1.24E-03	2.35E-04	2.42E-03	1.12E-03
4:Del:M:1	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
4:Del:M:2	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
4:Del:M:3	3.09E-07	2.12E-03	4.87E-07	1.77E-03	5.12E-07	1.71E-04	2.17E-03	2.57E-03
5:Del:M:1	3.43E-03	4.66E-03	5.08E-03	9.56E-03	8.94E-03	1.87E-03	7.97E-03	9.60E-03
5:Del:M:2	7.16E-04	1.69E-03	1.51E-03	2.59E-03	1.19E-03	2.92E-03	2.10E-03	1.21E-03
5:Del:M:3	1.49E-03	9.24E-04	7.43E-03	4.05E-03	8.08E-03	4.07E-03	6.10E-03	5.60E-03
5:Del:M:4	6.19E-04	5.46E-04	1.97E-03	8.35E-04	5.17E-04	2.01E-07	5.55E-04	6.46E-04
5:Del:M:5	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
