Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
TCGA_55_6979_01A	1.70E-01	0.00E+00	2.08E-01	7.70E-02	1.41E-01	1.68E-01	1.15E-01
TCGA_55_6981_01A	1.15E-01	0.00E+00	3.43E-02	5.13E-02	7.66E-02	1.11E-01	1.53E-01
TCGA_55_6985_01A	3.85E-01	0.00E+00	3.50E-01	1.46E-01	3.21E-01	2.27E-01	1.77E-01
TCGA_55_7281_01A	2.98E-01	0.00E+00	3.12E-01	2.50E-01	2.44E-01	2.35E-01	1.10E-01
TCGA_55_7573_01A	1.67E-01	0.00E+00	1.54E-01	6.14E-02	1.31E-01	1.09E-01	1.46E-01
TCGA_55_7574_01A	2.08E-01	7.37E-02	1.89E-01	6.97E-02	1.69E-01	1.48E-01	1.28E-01
TCGA_55_7725_01A	3.11E-01	0.00E+00	2.67E-01	1.66E-01	1.49E-01	1.83E-01	1.55E-01
TCGA_55_7726_01A	1.16E-01	0.00E+00	6.67E-02	1.19E-01	7.81E-02	8.44E-02	6.17E-02
TCGA_55_7728_01A	2.00E-02	0.00E+00	2.97E-02	5.79E-02	6.91E-02	9.20E-02	8.32E-02
TCGA_55_7911_01A	2.84E-01	0.00E+00	1.56E-01	1.45E-01	1.70E-01	2.38E-01	2.10E-01
TCGA_55_7914_01A	5.64E-02	0.00E+00	1.41E-01	1.54E-01	8.03E-02	7.45E-02	1.25E-01
TCGA_55_7995_01A	2.49E-01	0.00E+00	3.88E-01	2.16E-01	4.17E-01	2.22E-01	3.31E-01
TCGA_55_8096_01A	1.31E-01	1.17E-01	1.27E-01	2.00E-02	5.64E-02	8.23E-02	1.43E-01
TCGA_55_8097_01A	1.70E-01	8.09E-02	1.41E-01	8.08E-02	1.20E-01	1.68E-01	8.98E-02
TCGA_55_8203_01A	2.78E-01	9.26E-02	2.85E-01	2.22E-01	1.55E-01	2.49E-01	1.73E-01
TCGA_55_8208_01A	2.23E-01	0.00E+00	1.73E-01	9.25E-02	2.15E-01	7.23E-02	2.30E-01
TCGA_55_8299_01A	1.99E-01	0.00E+00	1.83E-01	3.94E-02	7.67E-02	1.20E-01	1.03E-01
TCGA_55_8506_01A	4.31E-01	0.00E+00	1.56E+00	2.62E+00	9.09E-01	1.29E+00	1.32E+00
TCGA_55_8510_01A	3.95E-01	0.00E+00	3.09E-01	2.88E-01	3.15E-01	3.11E-01	2.01E-01
TCGA_55_8511_01A	4.55E-01	1.41E-02	5.96E-01	2.42E-01	4.32E-01	4.45E-01	1.84E-01
TCGA_55_8616_01A	2.68E-01	6.48E-01	1.96E-01	0.00E+00	3.97E-01	3.46E-01	3.83E-01
TCGA_55_A48X_01A	1.25E-01	2.90E-01	1.81E-01	9.14E-02	2.50E-01	1.86E-01	2.75E-01
TCGA_55_A48Z_01A	1.41E-02	0.00E+00	1.00E-02	1.00E-02	1.00E-02	1.41E-02	2.56E-02
TCGA_55_A492_01A	3.78E-01	9.16E-01	7.50E-01	3.09E-01	7.85E-01	3.12E-01	2.52E-01
TCGA_55_A493_01A	1.82E-01	9.15E-01	2.65E-01	1.53E-01	8.12E-01	4.26E-01	2.40E-01
TCGA_55_A494_01A	1.82E-01	0.00E+00	1.67E-01	1.86E-01	1.32E-01	2.02E-01	1.89E-01
TCGA_62_A46O_01A	6.76E-01	1.19E+00	8.51E-01	4.98E-01	7.73E-01	1.22E+00	3.85E-01
TCGA_62_A46R_01A	2.36E-01	1.06E-01	2.08E-01	1.40E-01	2.40E-01	2.28E-01	1.40E-01
TCGA_64_1679_01A	6.27E-01	0.00E+00	5.73E-01	1.22E-01	5.12E-01	4.93E-01	2.03E-01
