Sample Names	MutationType	ID83A	ID83B
TCGA_38_4625_01A	5:Ins:R:1	0.9999985744452545	1.4255547455445412e-06
TCGA_38_4625_01A	5:Ins:R:2	0.9940502193455336	0.005949780654466455
TCGA_38_4625_01A	5:Ins:R:3	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	5:Ins:R:4	0.9894586872843281	0.010541312715671923
TCGA_38_4625_01A	5:Ins:R:5	0.9894586872378712	0.010541312762128762
TCGA_38_4625_01A	2:Del:M:1	0.9191591830624406	0.08084081693755935
TCGA_38_4625_01A	3:Del:M:1	0.9292856663893277	0.07071433361067216
TCGA_38_4625_01A	3:Del:M:2	0.8565226752439236	0.14347732475607644
TCGA_38_4625_01A	4:Del:M:1	0.9695737343057462	0.030426265694253735
TCGA_38_4625_01A	4:Del:M:2	0.9869675048271027	0.013032495172897327
