Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
TCGA_49_6761_01A	4.47E-02	6.87E-02	9.10E-02	7.70E-02	6.74E-02
TCGA_49_6767_01A	1.16E-01	9.86E-02	1.04E-01	7.40E-02	1.10E-01
TCGA_50_5051_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_50_5941_01A	1.64E-01	1.67E-01	2.16E-01	2.20E-01	1.88E-01
TCGA_50_5942_01A	4.47E-02	8.83E-02	5.71E-02	5.69E-02	5.84E-02
TCGA_50_6590_01A	3.87E-01	3.29E-01	2.48E-01	3.83E-01	1.88E-01
TCGA_50_6592_01A	1.15E-01	1.84E-01	1.15E-01	1.12E-01	1.20E-01
TCGA_50_6593_01A	1.28E-01	3.00E-02	0.00E+00	0.00E+00	1.31E-01
TCGA_53_7624_01A	2.51E-01	2.33E-01	1.72E-01	2.77E-01	1.56E-01
TCGA_53_7813_01A	8.74E-02	1.04E-01	6.64E-02	5.37E-02	7.30E-02
TCGA_55_6970_01A	2.00E-02	6.97E-02	5.56E-02	8.92E-02	7.09E-02
TCGA_55_6979_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_55_6985_01A	1.93E-01	1.79E-01	2.59E-01	2.36E-01	1.44E-01
TCGA_55_7281_01A	1.37E-01	1.00E-01	1.05E-01	1.16E-01	9.47E-02
TCGA_55_7573_01A	0.00E+00	1.41E-02	1.00E-02	0.00E+00	1.71E-02
TCGA_55_7574_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_55_7725_01A	2.19E-02	4.09E-02	4.88E-02	4.29E-02	3.27E-02
TCGA_55_7728_01A	7.65E-02	2.78E-02	2.00E-02	7.90E-02	4.42E-02
TCGA_55_7911_01A	1.14E-01	9.88E-02	9.56E-02	9.90E-02	1.44E-01
TCGA_55_7914_01A	1.11E-01	7.09E-02	7.05E-02	5.86E-02	1.11E-01
TCGA_55_7995_01A	9.57E-02	7.30E-02	4.93E-02	6.99E-02	5.61E-02
TCGA_55_8096_01A	1.67E-01	1.32E-01	1.12E-01	1.16E-01	8.42E-02
TCGA_55_8203_01A	1.67E-01	1.43E-01	1.05E-01	6.33E-02	1.60E-01
TCGA_55_8208_01A	9.52E-02	6.93E-02	6.49E-02	1.21E-01	1.09E-01
TCGA_55_8299_01A	1.25E-01	1.04E-01	1.24E-01	1.12E-01	9.80E-02
TCGA_55_8506_01A	2.75E-01	2.57E-01	2.45E-01	2.66E-01	2.35E-01
TCGA_55_8510_01A	1.51E-01	1.67E-01	1.36E-01	1.68E-01	1.44E-01
TCGA_55_8511_01A	1.77E-01	1.81E-01	1.71E-01	2.61E-01	1.60E-01
TCGA_55_8616_01A	3.37E-01	3.72E-01	3.43E-01	4.06E-01	2.62E-01
TCGA_55_A48X_01A	3.49E-01	3.26E-01	3.88E-01	3.97E-01	1.58E-01
TCGA_55_A492_01A	4.22E-02	1.40E-01	1.25E-01	1.21E-01	1.10E-01
TCGA_55_A493_01A	1.75E-01	2.21E-01	2.25E-01	1.44E-01	1.86E-01
TCGA_55_A494_01A	1.18E-01	1.32E-01	1.28E-01	1.25E-01	1.51E-01
TCGA_62_A46O_01A	2.75E-01	2.14E-01	1.70E-01	1.32E-01	1.77E-01
TCGA_62_A46R_01A	0.00E+00	1.41E-02	1.00E-02	0.00E+00	1.71E-02
TCGA_64_1679_01A	1.33E-01	1.09E-01	1.46E-01	1.70E-01	1.48E-01
TCGA_64_5781_01A	1.67E-01	2.60E-01	2.05E-01	1.52E-01	2.35E-01
TCGA_67_3770_01A	1.00E-01	5.57E-02	7.26E-02	3.73E-02	1.15E-01
TCGA_67_3774_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_67_6217_01A	9.58E-02	7.01E-02	5.51E-02	4.85E-02	2.97E-02
TCGA_69_7973_01A	1.71E-01	2.10E-01	1.31E-01	1.16E-01	1.48E-01
TCGA_69_7974_01A	2.57E-01	2.29E-01	1.53E-01	1.93E-01	2.31E-01
TCGA_69_7979_01A	4.72E-01	3.40E-01	3.29E-01	4.20E-01	4.22E-01
TCGA_69_7980_01A	3.62E-01	4.57E-01	1.72E-01	2.72E-01	3.53E-01
TCGA_73_4662_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_73_4666_01A	1.50E-01	1.35E-01	1.82E-01	1.16E-01	1.12E-01
TCGA_73_4670_01A	9.99E-02	6.17E-02	5.86E-02	7.50E-02	6.26E-02
TCGA_73_7498_01A	3.02E-02	3.38E-02	4.02E-02	4.56E-02	4.51E-02
TCGA_78_7145_01A	8.58E-02	6.71E-02	6.53E-02	4.58E-02	5.92E-02
TCGA_78_7146_01A	1.23E-01	1.16E-01	1.30E-01	1.14E-01	9.25E-02
TCGA_78_7147_01A	7.36E-02	5.61E-02	5.12E-02	7.32E-02	4.50E-02
TCGA_78_7153_01A	1.97E-02	3.86E-02	3.94E-02	4.99E-02	3.59E-02
TCGA_78_7158_01A	1.03E-01	6.68E-02	5.57E-02	7.12E-02	7.64E-02
TCGA_78_7159_01A	1.97E-01	1.88E-01	1.55E-01	1.88E-01	1.62E-01
TCGA_78_7161_01A	9.09E-02	5.63E-02	5.81E-02	7.65E-02	5.00E-02
TCGA_78_7220_01A	1.62E-01	2.27E-01	1.95E-01	2.89E-01	1.77E-01
TCGA_83_5908_01A	9.15E-02	9.06E-02	0.00E+00	2.81E-02	4.77E-02
TCGA_86_6851_01A	2.78E-01	1.16E-01	1.27E-01	2.87E-01	1.20E-01
TCGA_86_8056_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_91_6830_01A	8.58E-02	8.55E-02	8.58E-02	9.72E-02	8.46E-02
TCGA_91_6836_01A	1.67E-01	8.77E-02	1.01E-01	1.85E-01	1.25E-01
TCGA_91_6847_01A	1.41E-02	8.10E-02	9.02E-02	7.23E-02	6.80E-02
TCGA_95_7039_01A	2.22E-01	2.26E-01	1.44E-01	1.07E-01	1.09E-01
TCGA_95_7043_01A	2.04E-01	2.33E-01	1.98E-01	1.54E-01	2.05E-01
TCGA_95_7948_01A	0.00E+00	1.41E-02	1.00E-02	0.00E+00	1.71E-02
TCGA_95_A4VK_01A	1.15E-01	1.80E-01	1.50E-01	1.35E-01	1.66E-01
TCGA_95_A4VN_01A	2.53E-01	2.34E-01	1.44E-01	1.26E-01	1.26E-01
TCGA_95_A4VP_01A	7.52E-02	3.62E-02	7.69E-02	4.35E-02	5.50E-02
TCGA_97_7547_01A	1.37E-01	8.27E-02	1.72E-01	1.46E-01	1.04E-01
TCGA_97_8175_01A	2.19E-02	3.49E-02	4.56E-02	4.09E-02	4.65E-02
TCGA_97_A4M0_01A	7.59E-02	0.00E+00	0.00E+00	0.00E+00	7.59E-02
TCGA_97_A4M3_01A	1.51E-01	9.68E-02	1.27E-01	1.62E-01	1.08E-01
TCGA_99_7458_01A	1.72E-01	1.01E-01	1.14E-01	1.32E-01	1.20E-01
TCGA_J2_8194_01A	2.19E-02	4.09E-02	4.69E-02	4.46E-02	3.59E-02
TCGA_J2_A4AD_01A	2.00E-01	1.84E-01	1.77E-01	2.21E-01	2.22E-01
TCGA_J2_A4AG_01A	8.10E-02	5.91E-02	6.22E-02	6.08E-02	5.10E-02
TCGA_L4_A4E5_01A	1.10E-01	1.03E-01	1.00E-02	7.60E-02	1.02E-01
TCGA_L9_A443_01A	2.32E-01	1.12E-01	1.88E-01	1.01E-01	2.00E-01
TCGA_L9_A444_01A	1.81E-01	7.82E-02	1.16E-01	6.20E-02	1.39E-01
TCGA_MP_A4T4_01A	1.18E-01	9.37E-02	1.58E-01	1.30E-01	8.10E-02
TCGA_MP_A4TF_01A	2.30E-01	1.51E-01	1.67E-01	1.18E-01	2.44E-01
TCGA_MP_A4TH_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_NJ_A4YQ_01A	2.93E-01	1.69E-01	3.05E-01	2.65E-01	2.24E-01
TCGA_NJ_A55O_01A	1.19E-01	7.90E-02	6.01E-02	1.20E-01	8.07E-02
TCGA_O1_A52J_01A	9.84E-02	6.53E-02	6.72E-02	7.28E-02	6.08E-02
