MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Ins:C:4	0.0006928282671075436	0.02013142603145866	0.015406769797200468	0.012225708121779916	0.01595155760547982	0.01379694573772717
1:Ins:C:5	8.144580631949338e-05	0.0017519833202277368	0.010433440194237847	0.005166070383616557	0.010518172360639256	0.006277024108674141
1:Ins:T:0	0.02361908147644982	0.009141807751720469	0.00622396389102588	0.015592537531655596	0.020236578073748176	0.10880863764124797
1:Ins:T:1	0.011865447313036093	0.01910479202576899	0.06370621627961132	0.10593999553669324	0.06895499562288335	0.047306079851832425
1:Ins:T:2	7.862417272442619e-07	0.013313213343076344	0.03683833251889155	0.011317987955199981	0.028086215809605762	0.01671129970412494
1:Ins:T:3	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
1:Ins:T:4	0.00016925566733405617	0.004978521090420145	0.0024486609535553008	0.011582215752532647	0.0027996893053165196	0.010519349229699628
1:Ins:T:5	0.0004135130480529417	0.015596273687329396	0.17702227689573988	0.026018245450656084	0.03536877074265428	0.004339169629963
2:Del:R:0	0.007828312141337647	0.009203794903484348	0.026353494793042387	0.004913918362632956	0.016173136801699003	0.02146594479176554
2:Del:R:1	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
2:Del:R:2	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
2:Del:R:3	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
2:Del:R:4	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
2:Del:R:5	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
3:Del:R:0	8.067917261741506e-05	0.0019907134194784275	0.01983226462199355	0.018488433204367744	0.01643069228950992	0.028646544358755365
3:Del:R:1	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
3:Del:R:2	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
3:Del:R:3	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
3:Del:R:4	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
3:Del:R:5	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
4:Del:R:0	1.9030793544239088e-06	0.0021941968718601854	0.010915156574455978	0.0074059959935675575	0.004764281091152611	0.009054008589441765
4:Del:R:1	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
4:Del:R:2	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
4:Del:R:3	3.210902599519727e-06	2.457798953400925e-05	2.82083513593534e-05	2.4830753200149048e-05	1.9708186741809186e-05	2.2869275783250485e-05
