MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
CG>AT	0.0001543963281380911	0.0031873703881590567	0.00997095537328505	0.005874197393786744	0.003314930708627912	0.00951007281789714	0.006991615560052011	0.003930645039675937
CG>GC	3.722992502730449e-05	0.0009756644319634234	0.0040285655243042125	0.005690771433282862	0.0011231198025325284	0.0034733176450635027	0.0026096587511074175	0.0015517026178935112
CG>GT	0.00023463668445437236	0.0024499016292520537	0.014848128877192722	0.005106480780067386	0.023537402239398587	0.008055201206708204	0.016009917161040405	0.008773567024701947
CG>TA	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
CG>TC	0.002469598415116252	0.02250284421286448	0.02656216962539764	0.005670985685082802	0.005395971891245224	0.016547190396138767	0.05028592710260853	0.015043434241175957
CG>TT	2.3840126407037587e-06	0.014899583248368754	0.00251133194098996	0.023576331374867	0.01833893531685369	0.26561866095749964	0.00943761795382491	0.04285798605212387
CT>AA	9.113381528998187e-05	0.007254211692460937	0.005660341830819994	0.018427307206548605	0.017824701895756783	0.009929590788991376	0.29776076632353804	0.01564893274585936
CT>AC	0.00022891400911021265	0.0010648479620635953	0.0025756406910427644	0.0009695982967718919	0.003506185048884163	0.0060593025132754975	0.002420137148676531	0.002659832765047554
CT>AG	0.0010544892133714256	0.0016292508386597149	0.010296622327631724	0.015645494588049758	0.009495200780136699	0.013749601079016429	0.02245197752207588	0.0059885087310181
CT>GA	8.490129476967923e-05	0.0034160805880847534	0.0026719726317378447	0.0020225974572485937	0.00013166546244974597	0.000358357155382123	0.0021880976214231395	0.010527632454267745
CT>GC	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
CT>GG	9.607043709820573e-06	0.00019139480203307359	0.0026556390866437594	0.0007697105970040319	0.004005921710358962	0.003479673408604569	0.008055330600333832	0.0025338923411050017
CT>TA	0.00038696803460581465	0.0040932666280174956	0.04054486408534842	0.008941926082403535	0.030808868717188034	0.03379454964815892	0.03841016880253687	0.020298915971341387
CT>TC	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
CT>TG	6.1039296511467e-06	0.002018637017270262	0.011370322204679156	0.003785224561917744	0.008296494126229277	0.01149255410585056	0.01406755636328242	0.006812995069437875
GC>AA	1.0808088806214665e-06	0.03787657242718846	0.0012601479357473079	0.019697016869184812	0.0039520306880714865	0.003369554310215754	0.006979896076009644	0.334446299646055
GC>AG	0.00035655013800010236	0.004403563172596919	0.018179015169799438	0.007946143334228566	0.02267165326336908	0.021813931785710033	0.005804434410860715	0.012672283178534409
GC>AT	0.0001407657456695688	0.007428296463240542	0.017504954646178135	0.0025348496643152886	0.005370098707651323	0.00763658017235116	0.004036534839153205	0.011566785567017632
GC>CA	0.002845319594163129	0.013297795818383805	0.02176860835324419	0.003933379434710674	0.0036884801244172747	0.01807387127966525	0.026229948139102816	0.01603251328843726
GC>CG	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
GC>TA	0.00011953727248737777	0.001972609820453499	0.0031788493925432705	0.0023305012476157573	0.003043911107740769	0.0024162217390062326	0.003328746445605475	0.0029077219454686086
TA>AT	0.0001155414007712352	0.0011684942058394654	0.0035379561287800245	1.644872126689734e-05	0.0021192440700593808	0.0016877867039272055	0.008707017476412489	0.003538234930811086
TA>CG	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
