MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
5:Ins:R:4	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
5:Ins:R:5	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
2:Del:M:1	7.03E-04	2.17E-03	2.50E-03	3.54E-03	6.06E-03	3.66E-03	1.07E-02	3.59E-03	5.81E-03
3:Del:M:1	2.51E-04	3.30E-04	7.68E-04	2.14E-04	9.84E-04	1.17E-03	1.58E-03	1.19E-03	1.81E-03
3:Del:M:2	2.63E-04	1.45E-04	7.52E-05	8.18E-04	3.89E-04	5.60E-04	5.90E-04	3.85E-04	1.97E-04
4:Del:M:1	4.01E-05	1.21E-03	1.23E-03	8.61E-04	2.04E-03	7.23E-04	3.00E-03	2.23E-03	3.47E-03
4:Del:M:2	1.19E-08	4.55E-04	1.77E-07	6.68E-04	5.94E-04	3.94E-04	6.70E-04	3.73E-04	7.05E-04
4:Del:M:3	1.46E-08	7.53E-05	1.48E-04	1.41E-07	2.64E-04	3.93E-05	1.67E-04	3.37E-04	3.72E-04
5:Del:M:1	8.95E-05	4.30E-03	2.68E-03	4.14E-08	2.71E-03	9.90E-03	1.04E-06	1.40E-02	2.61E-02
5:Del:M:2	2.85E-04	2.14E-04	1.29E-03	4.20E-04	2.58E-03	2.29E-03	2.99E-03	2.09E-03	3.59E-03
5:Del:M:3	7.02E-09	3.49E-04	5.72E-04	1.20E-07	1.59E-03	1.51E-03	1.72E-03	2.51E-03	3.27E-03
5:Del:M:4	1.48E-08	1.82E-05	1.13E-04	9.18E-05	2.30E-04	4.55E-04	3.18E-04	1.13E-04	4.82E-04
5:Del:M:5	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
