MutationType	DBS78A	DBS78B	DBS78C
TG>AA	0.0029795640608163156	0.024663400688126558	0.020371330012816033
TG>AC	0.000488107975602361	0.0030693073596535212	0.002056126685572508
TG>AT	0.008859826848183587	0.04269526378843636	0.03493540533181317
TG>CA	0.0004371715649381258	0.0046254142325915385	0.0006970244249008317
TG>CC	1.3143312171450817e-05	1.60982199213322e-05	1.7589989820407936e-05
TG>CT	0.012067868480767732	0.13642990687337261	0.03945869801532496
TG>GA	0.000866723179985911	0.005463762273081727	0.00961999452809323
TG>GC	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
TG>GT	0.009618988184379305	0.003829923340716448	0.0059394274274541204
TT>AA	0.003926315076387255	0.00675499131448646	0.010151663742815344
TT>AC	0.0006963812546246118	0.004580355972786947	0.005322531045192136
TT>AG	0.00037947382369793556	0.0012574420149258003	0.0028588057731030857
TT>CA	0.0011177068714710004	0.005382367276351943	0.0033307939992641877
TT>CC	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
TT>CG	1.3143312171450817e-05	1.60982199213322e-05	1.7589989820407936e-05
TT>GA	0.0005082428457558308	0.0020203689903337363	0.002098122414768113
TT>GC	1.3143312171450817e-05	1.60982199213322e-05	1.7589989820407936e-05
TT>GG	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
