MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
CT>AG	8.910190948881792e-05	5.955708190179712e-05	4.419988708123768e-05	0.0006577506165922387	9.410249531356385e-05	0.00021980622285847851
CT>GA	8.910190956157749e-05	5.955708190179712e-05	4.4199834123812564e-05	0.0006577506832400104	9.410249531356385e-05	0.00021980622285847851
CT>GC	8.910190956157749e-05	5.955708186541733e-05	4.419979666446139e-05	0.0006577507302426966	9.410249531356385e-05	0.00021980622285847851
CT>GG	5.0911665435679955e-05	2.307169965055044e-05	0.35321764056120275	0.03985835332929114	0.013336196885873133	0.01996613050457982
CT>TA	0.005984046707208205	1.069587018367861e-05	0.016607638105988445	4.278520658192655e-05	0.039752316479707006	0.7461968619458483
CT>TC	0.003992043733422588	1.0397902343244103e-05	0.016608382462379525	0.6106418833382292	0.08441320832866676	0.06952613204805246
CT>TG	8.910190948881792e-05	5.955708197455669e-05	4.4200399618290475e-05	0.0006577499722334323	9.410249531356385e-05	0.00021980622285847851
GC>AA	0.9815654438734055	5.488471556935038e-05	0.010487037571686316	0.1116501713705697	0.03204189495138479	0.05588998307099531
GC>AG	8.910190956157749e-05	5.955708190179712e-05	4.420015980144853e-05	0.0006577502736035967	9.410249531356385e-05	0.00021980622285847851
GC>AT	8.910190948881792e-05	5.955708186541733e-05	4.420015717055748e-05	0.0006577502770232968	9.410249531356385e-05	0.00021980622285847851
GC>CA	8.910190948881792e-05	5.955708190179712e-05	4.419964992975034e-05	0.0006577509147609817	9.410249531356385e-05	0.00021980622285847851
GC>CG	8.910190956157749e-05	5.955708186541733e-05	4.419979024353538e-05	0.0006577507383917691	9.410249531356385e-05	0.00021980622285847851
GC>TA	8.910190956157749e-05	5.955708190179712e-05	4.4200163364926937e-05	0.0006577502693107817	9.410249531356385e-05	0.00021980622285847851
TA>AT	8.910190956157749e-05	5.9557081938176905e-05	4.420085275654628e-05	0.0006577494024531915	9.410249531356385e-05	0.00021980622285847851
TA>CG	8.910190948881792e-05	5.955708186541733e-05	4.4200117009118856e-05	0.0006577503274456831	9.410249531356385e-05	0.00021980622285847851
TA>CT	8.910190956157749e-05	5.955708190179712e-05	4.420020106181255e-05	0.000657750221726019	9.410249531356385e-05	0.00021980622285847851
TA>GC	8.910190948881792e-05	5.955708190179712e-05	4.419963526378079e-05	0.000657750933241914	9.410249531356385e-05	0.00021980622285847851
TA>GG	8.910190956157749e-05	5.955708197455669e-05	4.4200980318152003e-05	0.0006577492420183262	9.410249531356385e-05	0.00021980622285847851
TA>GT	8.910190956157749e-05	5.955708186541733e-05	4.4199987950541696e-05	0.0006577504897722974	9.410249531356385e-05	0.00021980622285847851
TC>AA	8.910190956157749e-05	5.9557081938176905e-05	4.4200735882640174e-05	0.0006577495494275354	9.410249531356385e-05	0.00021980622285847851
TC>AG	8.910190948881792e-05	5.955708190179712e-05	4.4199885989595344e-05	0.000657750617901911	9.410249531356385e-05	0.00021980622285847851
TC>AT	8.910190948881792e-05	5.955708197455669e-05	4.420031935310931e-05	0.0006577500730782049	9.410249531356385e-05	0.00021980622285847851
TC>CA	8.910190956157749e-05	5.955708190179712e-05	4.42000787649377e-05	0.0006577503756125224	9.410249531356385e-05	0.00021980622285847851
TC>CG	8.910190948881792e-05	5.955708190179712e-05	4.420012476050061e-05	0.000657750317841419	9.410249531356385e-05	0.00021980622285847851
TC>CT	8.910190948881792e-05	5.955708190179712e-05	4.4200043647570906e-05	0.0006577504197775852	9.410249531356385e-05	0.00021980622285847851
TC>GA	8.910190956157749e-05	5.955708186541733e-05	4.4200088965027365e-05	0.0006577503628068371	9.410249531356385e-05	0.00021980622285847851
TC>GG	8.910190956157749e-05	5.955708190179712e-05	4.420058259825055e-05	0.0006577497420221334	9.410249531356385e-05	0.00021980622285847851
TC>GT	8.910190948881792e-05	5.955708182903754e-05	4.419967122461177e-05	0.0006577508880582173	9.410249531356385e-05	0.00021980622285847851
TG>AA	8.910190948881792e-05	5.955708190179712e-05	4.420011462446638e-05	0.0006577503305743448	9.410249531356385e-05	0.00021980622285847851
TG>AC	8.910190956157749e-05	5.955708197455669e-05	4.420081817571031e-05	0.000657749445817899	9.410249531356385e-05	0.00021980622285847851
TG>AT	8.910190956157749e-05	5.9557081938176905e-05	4.4200266587139933e-05	0.0006577501395076978	9.410249531356385e-05	0.00021980622285847851
TG>CA	8.910190948881792e-05	5.955708190179712e-05	4.41998797371923e-05	0.0006577506257599453	9.410249531356385e-05	0.00021980622285847851
TG>CC	8.910190956157749e-05	5.9557081938176905e-05	4.42006064014322e-05	0.0006577497121907072	9.410249531356385e-05	0.00021980622285847851
TG>CT	8.910190956157749e-05	5.955708186541733e-05	4.41999950709615e-05	0.0006577504808956291	9.410249531356385e-05	0.00021980622285847851
TG>GA	8.910190948881792e-05	5.955708190179712e-05	4.4200067013662194e-05	0.0006577503903827164	9.410249531356385e-05	0.00021980622285847851
TG>GC	8.910190948881792e-05	5.9557081938176905e-05	4.420030206063075e-05	0.0006577500948333182	9.410249531356385e-05	0.00021980622285847851
TG>GT	8.910190956157749e-05	5.955708190179712e-05	4.419978216066767e-05	0.0006577507485781098	9.410249531356385e-05	0.00021980622285847851
TT>AA	8.910190948881792e-05	5.955708186541733e-05	4.4199633461227126e-05	0.0006577509355702205	9.410249531356385e-05	0.00021980622285847851
TT>AC	8.910190956157749e-05	5.9557082010936486e-05	4.420130439484638e-05	0.0006577488344919402	9.410249531356385e-05	0.00021980622278571893
TT>AG	8.910190948881792e-05	5.955708186541733e-05	4.419963217520917e-05	0.0006577509371709312	9.410249531356385e-05	0.00021980622285847851
TT>CA	8.910190948881792e-05	5.955708186541733e-05	4.4199640745781196e-05	0.0006577509264025139	9.410249531356385e-05	0.00021980622285847851
TT>CC	8.910190948881792e-05	5.955708190179712e-05	4.4200028022913786e-05	0.0006577504394226708	9.410249531356385e-05	0.00021980622285847851
TT>CG	8.910190956157749e-05	5.955708197455669e-05	4.4201054328141255e-05	0.0006577491489588284	9.410249531356385e-05	0.00021980622278571893
TT>GA	8.910190948881792e-05	5.955708186541733e-05	4.419978772773448e-05	0.0006577507415204309	9.410249531356385e-05	0.00021980622285847851
TT>GC	8.910190948881792e-05	5.9557082010936486e-05	4.419987305023909e-05	0.0006577506342728156	9.410249531356385e-05	0.00021980622293123807
TT>GG	8.910190956157749e-05	5.9557082010936486e-05	4.419989730738649e-05	0.0006577506037137937	9.410249531356385e-05	0.00021980622293123807
