Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA_69_7979_01A	2.29E+01	2.55E+01	2.49E+00	4.56E+00	2.80E+00
TCGA_69_7980_01A	9.47E+00	1.13E+01	2.06E+00	6.68E+00	2.12E+00
TCGA_73_4662_01A	3.57E+00	4.24E+00	7.83E-01	2.90E+00	1.23E+00
TCGA_73_4666_01A	4.12E+00	4.81E+00	9.59E-01	3.19E+00	1.11E+00
TCGA_73_4670_01A	5.16E+00	5.83E+00	9.56E-01	4.33E+00	2.18E+00
TCGA_73_7498_01A	2.49E+00	3.05E+00	4.02E-01	2.23E+00	1.03E+00
TCGA_78_7145_01A	4.34E+00	5.24E+00	7.15E-01	2.29E+00	1.11E+00
TCGA_78_7146_01A	4.65E+00	4.69E+00	1.57E+00	2.69E+00	1.62E+00
TCGA_78_7147_01A	4.94E+00	6.55E+00	1.27E+00	4.26E+00	1.49E+00
TCGA_78_7153_01A	1.01E+00	2.05E+00	9.27E-01	2.30E+00	1.45E+00
TCGA_78_7158_01A	3.50E+00	4.36E+00	1.02E+00	2.91E+00	1.27E+00
TCGA_78_7159_01A	4.56E+00	5.20E+00	7.04E-01	3.02E+00	1.40E+00
TCGA_78_7161_01A	3.26E+00	4.10E+00	6.53E-01	2.69E+00	1.04E+00
TCGA_78_7220_01A	9.18E+00	1.15E+01	2.15E+00	7.05E+00	1.39E+00
TCGA_83_5908_01A	3.42E+00	3.92E+00	1.21E+00	2.11E+00	7.73E-01
TCGA_86_6851_01A	9.91E+00	1.16E+01	2.02E+00	8.78E+00	8.61E-01
TCGA_86_7954_01A	2.58E+00	3.46E+00	1.17E+00	3.05E+00	1.68E+00
TCGA_86_8056_01A	2.88E+00	3.37E+00	1.47E+00	2.33E+00	1.31E+00
TCGA_86_8074_01A	6.42E-01	1.55E+00	5.02E-01	2.23E+00	1.34E+00
TCGA_91_6830_01A	9.74E-01	1.41E+00	1.32E+00	1.45E+00	4.98E-01
TCGA_91_6836_01A	6.47E+00	6.88E+00	9.68E-01	4.02E+00	1.57E+00
TCGA_91_6840_01A	5.46E-01	7.17E-01	1.26E+00	5.97E-01	1.15E+00
TCGA_91_6847_01A	5.40E-01	1.27E+00	6.69E-01	1.53E+00	1.28E+00
TCGA_95_7039_01A	1.31E+01	1.63E+01	1.74E+00	9.70E+00	2.23E+00
TCGA_95_7043_01A	1.44E+01	1.60E+01	1.70E+00	6.60E+00	1.88E+00
TCGA_95_7948_01A	0.00E+00	0.00E+00	4.13E-01	1.17E-01	4.00E-01
TCGA_95_A4VK_01A	4.22E+00	4.87E+00	6.13E-01	3.03E+00	1.49E+00
TCGA_95_A4VN_01A	7.29E+00	8.38E+00	1.19E+00	3.86E+00	1.24E+00
TCGA_95_A4VP_01A	2.63E+00	3.12E+00	3.96E-01	2.03E+00	8.54E-01
TCGA_97_7547_01A	3.30E+00	4.03E+00	1.01E+00	1.82E+00	1.22E+00
TCGA_97_7553_01A	6.48E-01	7.69E-01	2.76E-01	6.72E-01	8.10E-01
TCGA_97_7941_01A	1.65E+00	1.82E+00	5.30E-01	8.65E-01	6.23E-01
TCGA_97_8175_01A	6.68E-01	8.30E-01	3.27E-01	8.70E-01	6.35E-01
TCGA_97_A4M0_01A	5.84E+00	6.75E+00	1.37E+00	3.87E+00	8.02E-01
TCGA_97_A4M1_01A	3.91E-01	5.79E-01	5.43E-01	6.80E-01	6.33E-01
TCGA_97_A4M3_01A	3.40E+00	3.62E+00	9.80E-01	2.02E+00	9.75E-01
TCGA_99_7458_01A	6.18E+00	6.92E+00	9.85E-01	4.75E+00	1.19E+00
TCGA_J2_8194_01A	2.37E+00	3.19E+00	5.83E-01	2.48E+00	1.31E+00
TCGA_J2_A4AD_01A	2.72E+00	4.24E+00	2.11E+00	3.53E+00	1.45E+00
TCGA_J2_A4AG_01A	1.66E+00	1.69E+00	5.27E-01	1.41E+00	8.30E-01
TCGA_L4_A4E5_01A	4.85E+00	5.89E+00	7.97E-01	3.19E+00	1.42E+00
TCGA_L9_A443_01A	3.96E+00	4.47E+00	8.43E-01	3.53E+00	1.10E+00
TCGA_L9_A444_01A	9.61E+00	1.09E+01	1.13E+00	4.77E+00	1.78E+00
TCGA_MP_A4T4_01A	6.66E+00	7.49E+00	1.04E+00	3.59E+00	1.47E+00
TCGA_MP_A4T9_01A	7.29E-01	1.09E+00	4.46E-01	1.24E+00	3.12E-01
TCGA_MP_A4TF_01A	6.10E+00	6.79E+00	1.07E+00	3.81E+00	1.50E+00
TCGA_MP_A4TH_01A	1.78E+00	2.61E+00	1.87E-01	1.99E+00	1.09E+00
TCGA_NJ_A4YQ_01A	1.25E+01	1.34E+01	1.56E+00	7.56E+00	1.82E+00
TCGA_NJ_A55O_01A	2.95E+00	3.07E+00	5.61E-01	1.11E+00	6.94E-01
TCGA_O1_A52J_01A	3.02E+00	3.48E+00	6.70E-01	2.05E+00	9.91E-01
