Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
TCGA_53_7624_01A	0.00E+00	3.86E-01	3.36E-01	2.48E-01	2.95E-01	3.66E-01	1.60E-01	1.54E-01
TCGA_53_7813_01A	0.00E+00	2.04E-01	2.18E-01	1.26E-01	1.81E-01	1.61E-01	1.25E-01	9.31E-02
TCGA_55_6543_01A	0.00E+00	3.67E-02	1.71E-02	6.48E-02	5.34E-02	4.93E-02	7.31E-02	4.64E-02
TCGA_55_6970_01A	0.00E+00	1.71E-01	1.46E-01	0.00E+00	1.34E-01	1.23E-01	4.98E-02	5.32E-02
TCGA_55_6971_01A	0.00E+00	1.18E-01	1.58E-01	2.39E-02	1.32E-01	6.38E-02	1.01E-01	6.40E-02
TCGA_55_6979_01A	0.00E+00	1.64E-01	1.86E-01	8.02E-02	1.82E-01	1.34E-01	1.02E-01	1.02E-01
TCGA_55_6981_01A	0.00E+00	1.02E-01	3.12E-02	4.77E-02	3.71E-02	8.82E-02	1.48E-01	1.28E-01
TCGA_55_6985_01A	0.00E+00	3.20E-01	3.37E-01	1.30E-01	2.96E-01	2.28E-01	7.57E-02	1.37E-01
TCGA_55_7281_01A	0.00E+00	3.08E-01	2.97E-01	2.43E-01	2.12E-01	2.68E-01	4.65E-02	1.49E-01
TCGA_55_7573_01A	0.00E+00	1.62E-01	1.34E-01	4.19E-02	7.69E-02	8.93E-02	1.48E-01	7.59E-02
TCGA_55_7574_01A	7.67E-02	2.03E-01	1.73E-01	1.10E-01	1.43E-01	1.76E-01	1.31E-01	1.72E-01
TCGA_55_7725_01A	0.00E+00	2.88E-01	2.18E-01	1.67E-01	2.03E-01	1.27E-01	1.24E-01	8.77E-02
TCGA_55_7726_01A	0.00E+00	1.21E-01	5.03E-02	1.06E-01	7.92E-02	8.08E-02	7.43E-02	7.95E-02
TCGA_55_7728_01A	0.00E+00	1.00E-02	2.00E-02	5.66E-02	2.78E-02	5.14E-02	8.61E-02	8.79E-02
TCGA_55_7911_01A	0.00E+00	2.71E-01	1.34E-01	1.47E-01	1.88E-01	1.47E-01	1.93E-01	2.43E-01
TCGA_55_7914_01A	0.00E+00	4.82E-02	1.36E-01	1.42E-01	1.24E-01	7.53E-02	9.69E-02	6.82E-02
TCGA_55_7995_01A	0.00E+00	2.00E-01	3.38E-01	1.55E-01	3.16E-01	2.98E-01	2.90E-01	1.67E-01
TCGA_55_8096_01A	1.21E-01	1.27E-01	1.31E-01	1.71E-02	3.51E-02	3.83E-02	1.45E-01	1.04E-01
TCGA_55_8097_01A	6.31E-02	1.62E-01	9.75E-02	6.67E-02	1.64E-01	1.19E-01	1.01E-01	9.88E-02
TCGA_55_8203_01A	9.69E-02	2.62E-01	2.66E-01	1.96E-01	2.40E-01	1.49E-01	1.84E-01	1.58E-01
TCGA_55_8208_01A	0.00E+00	2.23E-01	1.30E-01	7.41E-02	5.30E-02	2.23E-01	2.35E-01	9.92E-02
TCGA_55_8299_01A	0.00E+00	1.91E-01	1.77E-01	3.83E-02	9.17E-02	5.91E-02	1.18E-01	1.22E-01
TCGA_55_8506_01A	0.00E+00	3.73E-01	1.05E+00	2.70E+00	1.68E+00	1.84E+00	7.42E-01	9.04E-01
TCGA_55_8510_01A	0.00E+00	3.75E-01	2.74E-01	2.39E-01	3.26E-01	2.83E-01	1.37E-01	1.73E-01
TCGA_55_8511_01A	1.00E-02	4.11E-01	5.00E-01	1.04E-01	5.46E-01	2.69E-01	4.79E-02	1.81E-01
TCGA_55_8616_01A	9.01E-01	3.25E-01	2.11E-01	0.00E+00	6.37E-01	3.71E-01	4.25E-01	4.75E-01
TCGA_55_A48X_01A	2.84E-01	4.72E-02	1.50E-01	8.29E-02	1.79E-01	2.55E-01	2.86E-01	1.60E-01
TCGA_55_A48Z_01A	0.00E+00	1.71E-02	0.00E+00	0.00E+00	0.00E+00	1.00E-02	2.56E-02	1.71E-02
TCGA_55_A492_01A	1.21E+00	4.23E-01	6.67E-01	2.76E-01	2.05E-01	7.53E-01	2.58E-01	9.78E-01
TCGA_55_A493_01A	1.14E+00	1.24E-01	2.65E-01	1.21E-01	1.98E-01	2.56E-01	2.67E-01	1.15E+00
TCGA_55_A494_01A	0.00E+00	1.22E-01	1.40E-01	1.93E-01	1.36E-01	1.34E-01	1.80E-01	1.85E-01
TCGA_62_A46O_01A	1.06E+00	5.88E-01	6.78E-01	3.99E-01	6.36E-01	9.45E-01	3.17E-01	5.37E-01
TCGA_62_A46R_01A	1.02E-01	2.36E-01	2.44E-01	1.62E-01	2.46E-01	1.79E-01	8.72E-02	1.84E-01
TCGA_64_1679_01A	0.00E+00	5.55E-01	4.80E-01	9.77E-02	4.81E-01	3.59E-01	1.29E-01	2.96E-01
TCGA_64_1681_01A	0.00E+00	3.15E-02	9.82E-02	1.96E-01	1.30E-01	1.39E-01	8.88E-02	9.51E-02
TCGA_64_5781_01A	1.00E-02	6.30E-01	6.88E-01	3.22E-01	4.01E-01	3.22E-01	1.79E-01	2.38E-01
TCGA_67_3770_01A	1.17E-01	2.19E-01	1.63E-01	1.24E-01	1.28E-01	1.24E-01	1.26E-01	1.55E-01
TCGA_67_3774_01A	0.00E+00	5.69E-02	6.26E-02	1.36E-01	1.75E-01	2.09E-01	1.83E-01	1.80E-01
TCGA_67_6217_01A	5.39E-02	1.95E-01	3.79E-02	1.25E-01	1.39E-01	1.79E-01	1.58E-01	1.54E-01
TCGA_69_7973_01A	0.00E+00	1.81E-01	3.20E-01	2.03E-01	2.99E-01	2.25E-01	1.78E-01	2.00E-01
TCGA_69_7974_01A	0.00E+00	3.14E-01	3.73E-01	3.23E-01	3.33E-01	3.00E-01	2.69E-01	3.85E-01
TCGA_69_7979_01A	2.05E-01	6.58E-01	5.91E-01	2.01E-01	5.20E-01	3.75E-01	5.01E-01	4.94E-01
TCGA_69_7980_01A	9.01E-02	5.15E-01	4.53E-01	1.83E-01	3.73E-01	4.31E-01	3.27E-01	2.76E-01
TCGA_73_4662_01A	0.00E+00	2.73E-01	2.33E-01	3.67E-02	2.48E-01	1.52E-01	2.35E-01	1.25E-01
TCGA_73_4666_01A	0.00E+00	3.11E-01	2.53E-01	9.90E-02	1.62E-01	1.31E-01	1.93E-01	2.53E-01
TCGA_73_4670_01A	9.78E-02	3.77E-01	4.05E-01	2.26E-01	4.16E-01	5.56E-01	2.84E-01	3.04E-01
TCGA_73_7498_01A	0.00E+00	1.32E-01	6.76E-02	1.00E-01	1.26E-01	1.49E-01	1.68E-01	1.20E-01
TCGA_78_7145_01A	0.00E+00	1.28E-01	4.42E-02	2.08E-01	1.42E-01	1.47E-01	9.65E-02	1.42E-01
TCGA_78_7146_01A	9.29E-02	2.43E-01	2.98E-01	7.79E-02	1.86E-01	2.10E-01	1.70E-01	1.96E-01
TCGA_78_7147_01A	0.00E+00	3.92E-01	2.26E-01	2.24E-01	2.20E-01	2.84E-01	2.03E-01	2.89E-01
TCGA_78_7153_01A	0.00E+00	1.25E-01	2.00E-02	0.00E+00	0.00E+00	1.23E-01	2.20E-01	2.01E-01
TCGA_78_7158_01A	0.00E+00	3.10E-01	6.26E-02	8.78E-02	1.06E-01	1.44E-01	2.50E-01	2.89E-01
TCGA_78_7159_01A	0.00E+00	3.05E-01	2.82E-01	2.46E-01	3.63E-01	3.22E-01	3.25E-01	3.85E-01
TCGA_78_7161_01A	0.00E+00	2.18E-01	1.88E-01	1.64E-01	9.08E-02	1.27E-01	1.21E-01	1.67E-01
TCGA_78_7220_01A	1.24E-01	5.93E-01	5.19E-01	1.85E-01	3.80E-01	3.54E-01	2.67E-01	2.48E-01
TCGA_83_5908_01A	0.00E+00	2.33E-01	2.28E-01	1.41E-02	5.87E-02	1.11E-01	1.16E-01	1.52E-01
TCGA_86_6851_01A	0.00E+00	6.16E-01	6.54E-01	1.87E-01	3.76E-01	5.26E-01	2.16E-01	3.87E-01
TCGA_86_7954_01A	9.58E-02	2.09E-01	1.77E-01	1.08E-01	1.44E-01	9.07E-02	6.49E-02	1.06E-01
TCGA_86_8056_01A	0.00E+00	1.36E-01	1.42E-01	1.41E-01	1.87E-01	9.79E-02	1.15E-01	1.00E-01
TCGA_86_8074_01A	0.00E+00	3.71E-02	0.00E+00	1.01E-01	8.72E-02	1.14E-01	1.60E-01	1.37E-01
TCGA_91_6830_01A	0.00E+00	1.65E-01	1.67E-01	2.17E-01	2.25E-01	1.51E-01	9.11E-02	1.63E-01
TCGA_91_6836_01A	0.00E+00	1.40E-01	3.20E-01	1.63E-01	2.78E-01	1.98E-01	1.35E-01	1.97E-01
TCGA_91_6840_01A	0.00E+00	9.59E-02	3.89E-02	1.55E-01	4.69E-02	1.21E-01	1.53E-01	9.90E-02
TCGA_91_6847_01A	0.00E+00	1.29E-01	5.20E-02	1.04E-01	9.73E-02	9.74E-02	1.68E-01	2.13E-01
TCGA_95_7039_01A	1.31E-01	8.12E-01	1.03E+00	4.73E-01	6.71E-01	6.71E-01	2.75E-01	2.97E-01
TCGA_95_7043_01A	8.82E-02	1.00E+00	8.70E-01	3.90E-01	5.40E-01	7.69E-01	2.06E-01	3.60E-01
TCGA_95_7948_01A	0.00E+00	1.28E-01	1.32E-01	8.47E-02	9.86E-02	8.66E-02	1.78E-01	1.21E-01
