Samples	ID83A	ID83B	ID83C	ID83D	ID83E
TCGA_44_7670_01A	7.80E-01	6.32E-01	0.00E+00	5.62E-01	6.86E-01
TCGA_44_7672_01A	2.96E-01	2.84E-01	1.05E-01	2.39E-01	3.40E-01
TCGA_44_8117_01A	5.80E-01	6.14E-01	0.00E+00	2.92E-01	2.97E-01
TCGA_44_A47G_01A	1.09E-01	1.73E-01	2.24E-01	1.62E-01	2.52E-01
TCGA_44_A4SU_01A	1.92E-01	1.28E-01	3.00E-02	4.52E-02	1.67E-01
TCGA_49_4487_01A	5.31E-01	5.01E-01	0.00E+00	2.16E-01	5.10E-01
TCGA_49_4488_01A	4.91E-01	5.12E-01	1.01E-01	1.75E-01	1.16E-01
TCGA_49_4490_01A	7.56E-02	1.35E-01	0.00E+00	1.47E-01	1.23E-01
TCGA_49_4505_01A	2.49E-01	2.60E-01	1.04E-01	1.21E-01	2.81E-01
TCGA_49_4506_01A	2.00E-01	2.05E-01	2.16E-01	7.67E-02	2.05E-01
TCGA_49_4507_01A	2.50E-01	2.59E-01	8.45E-02	1.08E-01	1.97E-01
TCGA_49_6744_01A	2.91E-01	3.12E-01	0.00E+00	2.33E-01	1.43E-01
TCGA_49_6761_01A	1.43E-01	1.68E-01	4.93E-02	9.69E-02	1.92E-01
TCGA_49_6767_01A	5.00E-01	5.00E-01	7.50E-02	1.07E-01	2.17E-01
TCGA_50_5051_01A	2.45E-01	2.11E-01	0.00E+00	1.98E-01	2.50E-01
TCGA_50_5941_01A	6.63E-01	7.37E-01	2.00E-02	2.96E-01	5.52E-01
TCGA_50_5942_01A	1.68E-01	1.59E-01	9.53E-02	6.37E-02	1.53E-01
TCGA_50_6590_01A	6.07E-01	5.96E-01	0.00E+00	3.70E-01	5.01E-01
TCGA_50_6592_01A	3.31E-01	2.93E-01	5.66E-02	3.70E-01	2.96E-01
TCGA_50_6593_01A	3.33E-01	3.11E-01	1.96E-01	2.08E-01	2.28E-01
TCGA_50_6595_01A	1.39E-01	1.29E-01	0.00E+00	4.64E-02	1.56E-01
TCGA_53_7624_01A	5.96E-01	5.50E-01	0.00E+00	2.31E-01	3.43E-01
TCGA_53_7813_01A	2.64E-01	2.43E-01	0.00E+00	1.59E-01	1.64E-01
TCGA_55_6543_01A	3.51E-02	6.17E-02	0.00E+00	7.98E-02	8.14E-02
TCGA_55_6970_01A	2.01E-01	1.92E-01	0.00E+00	6.20E-02	2.00E-02
TCGA_55_6971_01A	2.02E-01	1.94E-01	0.00E+00	1.02E-01	1.38E-01
TCGA_55_6979_01A	2.28E-01	2.26E-01	0.00E+00	1.59E-01	1.49E-01
TCGA_55_6981_01A	1.33E-01	8.90E-02	0.00E+00	8.26E-02	1.57E-01
TCGA_55_6985_01A	4.56E-01	4.32E-01	0.00E+00	2.15E-01	1.67E-01
TCGA_55_7281_01A	4.20E-01	4.12E-01	0.00E+00	2.75E-01	2.24E-01
TCGA_55_7573_01A	2.07E-01	1.72E-01	0.00E+00	8.77E-02	1.60E-01
TCGA_55_7574_01A	2.62E-01	2.40E-01	8.85E-02	1.04E-01	2.01E-01
TCGA_55_7725_01A	3.82E-01	3.28E-01	0.00E+00	1.94E-01	1.97E-01
TCGA_55_7726_01A	1.26E-01	6.52E-02	0.00E+00	1.21E-01	1.06E-01
TCGA_55_7728_01A	6.26E-02	6.45E-02	1.00E-02	6.89E-02	9.35E-02
TCGA_55_7911_01A	3.29E-01	2.84E-01	0.00E+00	2.07E-01	2.99E-01
TCGA_55_7914_01A	8.79E-02	1.63E-01	0.00E+00	1.68E-01	1.33E-01
TCGA_55_7995_01A	3.73E-01	4.50E-01	0.00E+00	2.69E-01	4.17E-01
TCGA_55_8096_01A	1.54E-01	1.55E-01	1.18E-01	6.56E-02	1.72E-01
TCGA_55_8097_01A	2.20E-01	2.08E-01	1.00E-01	1.07E-01	1.38E-01
TCGA_55_8203_01A	3.60E-01	3.56E-01	9.62E-02	2.90E-01	1.82E-01
TCGA_55_8208_01A	3.12E-01	2.35E-01	0.00E+00	1.45E-01	3.04E-01
TCGA_55_8299_01A	2.19E-01	1.87E-01	0.00E+00	4.38E-02	1.53E-01
TCGA_55_8506_01A	4.93E-01	2.71E+00	0.00E+00	2.68E+00	6.02E-01
TCGA_55_8510_01A	4.39E-01	4.61E-01	0.00E+00	3.29E-01	2.92E-01
TCGA_55_8511_01A	6.65E-01	7.07E-01	5.97E-02	3.94E-01	2.40E-01
TCGA_55_8616_01A	3.31E-01	6.00E-01	7.29E-01	0.00E+00	3.24E-01
TCGA_55_A48X_01A	1.72E-01	2.06E-01	2.90E-01	9.88E-02	3.37E-01
TCGA_55_A48Z_01A	2.88E-02	2.56E-02	0.00E+00	1.71E-02	3.94E-02
TCGA_55_A492_01A	4.32E-01	3.44E-01	4.98E-01	3.49E-01	4.26E-01
TCGA_55_A493_01A	1.93E-01	3.52E-01	4.39E-01	1.74E-01	3.50E-01
TCGA_55_A494_01A	2.01E-01	2.10E-01	0.00E+00	2.24E-01	2.24E-01
TCGA_62_A46O_01A	8.02E-01	7.61E-01	6.60E-01	5.47E-01	4.88E-01
TCGA_62_A46R_01A	2.96E-01	3.08E-01	1.07E-01	2.15E-01	2.19E-01
TCGA_64_1679_01A	7.59E-01	7.49E-01	0.00E+00	2.38E-01	2.69E-01
TCGA_64_1681_01A	9.34E-02	1.45E-01	0.00E+00	1.81E-01	1.21E-01
TCGA_64_5781_01A	1.01E+00	1.11E+00	1.00E-02	4.47E-01	2.13E-01
TCGA_67_3770_01A	2.66E-01	2.04E-01	1.21E-01	1.34E-01	1.89E-01
TCGA_67_3774_01A	1.68E-01	2.05E-01	2.00E-02	2.19E-01	2.71E-01
TCGA_67_6217_01A	2.29E-01	1.49E-01	1.20E-01	1.66E-01	2.26E-01
TCGA_69_7973_01A	3.22E-01	4.02E-01	0.00E+00	2.86E-01	2.56E-01
TCGA_69_7974_01A	4.88E-01	5.15E-01	0.00E+00	3.73E-01	3.49E-01
TCGA_69_7979_01A	8.30E-01	8.83E-01	2.55E-01	2.49E-01	5.56E-01
TCGA_69_7980_01A	6.63E-01	5.95E-01	1.19E-01	2.97E-01	4.15E-01
TCGA_73_4662_01A	3.54E-01	3.52E-01	0.00E+00	1.41E-01	2.62E-01
TCGA_73_4666_01A	3.77E-01	3.69E-01	0.00E+00	1.74E-01	2.44E-01
TCGA_73_4670_01A	6.26E-01	7.04E-01	1.16E-01	4.11E-01	6.35E-01
TCGA_73_7498_01A	1.73E-01	1.38E-01	0.00E+00	1.44E-01	1.89E-01
TCGA_78_7145_01A	1.61E-01	1.33E-01	0.00E+00	2.14E-01	1.44E-01
TCGA_78_7146_01A	3.33E-01	3.44E-01	9.39E-02	1.29E-01	2.64E-01
TCGA_78_7147_01A	5.59E-01	4.75E-01	0.00E+00	2.53E-01	3.77E-01
TCGA_78_7153_01A	1.97E-01	1.52E-01	0.00E+00	7.30E-02	2.54E-01
TCGA_78_7158_01A	3.97E-01	2.03E-01	0.00E+00	1.38E-01	3.87E-01
TCGA_78_7159_01A	4.22E-01	4.50E-01	0.00E+00	3.82E-01	4.40E-01
TCGA_78_7161_01A	2.50E-01	2.13E-01	0.00E+00	2.05E-01	1.66E-01
TCGA_78_7220_01A	7.41E-01	7.55E-01	1.32E-01	2.41E-01	3.55E-01
TCGA_83_5908_01A	2.97E-01	2.87E-01	0.00E+00	3.15E-02	1.53E-01
TCGA_86_6851_01A	9.37E-01	1.00E+00	0.00E+00	2.09E-01	3.55E-01
TCGA_86_7954_01A	2.42E-01	2.06E-01	9.53E-02	1.49E-01	1.55E-01
TCGA_86_8056_01A	1.80E-01	1.87E-01	0.00E+00	1.90E-01	1.50E-01
TCGA_86_8074_01A	1.02E-01	7.96E-02	3.94E-02	1.41E-01	1.64E-01
TCGA_91_6830_01A	2.03E-01	2.56E-01	0.00E+00	2.57E-01	1.82E-01
TCGA_91_6836_01A	2.95E-01	3.65E-01	4.00E-02	2.77E-01	2.40E-01
TCGA_91_6840_01A	1.43E-01	1.10E-01	0.00E+00	1.66E-01	1.89E-01
TCGA_91_6847_01A	2.04E-01	1.55E-01	0.00E+00	1.56E-01	2.33E-01
TCGA_95_7039_01A	1.32E+00	1.37E+00	1.42E-01	5.50E-01	4.64E-01
TCGA_95_7043_01A	1.64E+00	1.55E+00	1.11E-01	4.30E-01	4.13E-01
TCGA_95_7948_01A	1.96E-01	1.75E-01	0.00E+00	1.53E-01	2.10E-01
TCGA_95_A4VK_01A	2.56E-01	2.79E-01	9.58E-02	0.00E+00	3.59E-02
TCGA_95_A4VN_01A	5.30E-01	5.81E-01	0.00E+00	2.28E-01	5.11E-01
TCGA_95_A4VP_01A	1.64E-01	1.58E-01	9.56E-02	3.30E-02	1.27E-01
TCGA_97_7547_01A	1.79E-01	2.15E-01	0.00E+00	1.37E-01	2.48E-01
TCGA_97_7553_01A	1.39E-01	1.88E-01	1.12E-01	7.96E-02	2.53E-01
TCGA_97_7941_01A	1.77E-01	1.06E-01	9.10E-02	1.20E-01	2.07E-01
TCGA_97_8175_01A	7.11E-02	8.45E-02	0.00E+00	5.63E-02	9.24E-02
TCGA_97_A4M0_01A	4.65E-01	5.07E-01	0.00E+00	3.87E-01	1.64E-01
TCGA_97_A4M1_01A	2.88E-02	2.56E-02	0.00E+00	1.71E-02	3.94E-02
TCGA_97_A4M3_01A	2.04E-01	1.90E-01	1.07E-01	1.04E-01	1.18E-01
TCGA_99_7458_01A	5.28E-01	5.59E-01	4.09E-02	1.99E-01	3.00E-01
TCGA_J2_8194_01A	1.44E-01	1.52E-01	0.00E+00	5.95E-02	1.52E-01
TCGA_J2_A4AD_01A	4.35E-01	3.86E-01	0.00E+00	9.18E-02	4.08E-01
TCGA_J2_A4AG_01A	2.66E-01	1.96E-01	1.00E-02	2.23E-01	2.44E-01
TCGA_L4_A4E5_01A	2.67E-01	2.67E-01	0.00E+00	2.23E-02	5.70E-02
TCGA_L9_A443_01A	3.27E-01	2.52E-01	2.59E-01	2.57E-01	2.41E-01
TCGA_L9_A444_01A	5.65E-01	6.56E-01	3.07E-01	5.10E-01	3.24E-01
TCGA_MP_A4T4_01A	5.53E-01	5.85E-01	0.00E+00	2.29E-01	2.56E-01
TCGA_MP_A4T9_01A	2.88E-02	2.56E-02	0.00E+00	1.71E-02	3.94E-02
TCGA_MP_A4TF_01A	4.03E-01	4.23E-01	0.00E+00	1.95E-01	3.55E-01
TCGA_MP_A4TH_01A	2.54E-01	2.55E-01	0.00E+00	7.30E-02	1.08E-01
TCGA_NJ_A4YQ_01A	1.26E+00	1.22E+00	0.00E+00	6.10E-01	4.30E-01
TCGA_NJ_A55O_01A	2.53E-01	2.32E-01	0.00E+00	6.03E-02	1.43E-01
TCGA_O1_A52J_01A	2.52E-01	2.40E-01	0.00E+00	1.64E-01	2.42E-01
