MutationType	ID83A	ID83B	ID83C	ID83D
3:Del:R:2	1.01E-07	1.68E-08	1.48E-07	2.61E-07
3:Del:R:3	1.01E-07	1.68E-08	1.48E-07	2.61E-07
3:Del:R:4	1.01E-07	1.68E-08	1.48E-07	2.61E-07
3:Del:R:5	1.01E-07	1.68E-08	1.48E-07	2.61E-07
4:Del:R:0	3.58E-04	5.45E-04	1.60E-03	1.58E-03
4:Del:R:1	1.42E-04	1.64E-08	1.74E-04	3.67E-04
4:Del:R:2	1.01E-07	1.68E-08	1.48E-07	2.61E-07
4:Del:R:3	1.01E-07	1.68E-08	1.48E-07	2.61E-07
4:Del:R:4	1.01E-07	1.68E-08	1.48E-07	2.61E-07
4:Del:R:5	1.01E-07	1.68E-08	1.48E-07	2.61E-07
5:Del:R:0	3.68E-03	6.48E-04	3.35E-03	1.11E-02
5:Del:R:1	1.01E-07	1.68E-08	1.48E-07	2.61E-07
5:Del:R:2	1.01E-07	1.68E-08	1.48E-07	2.61E-07
5:Del:R:3	1.01E-07	1.68E-08	1.48E-07	2.61E-07
5:Del:R:4	1.01E-07	1.68E-08	1.48E-07	2.61E-07
5:Del:R:5	1.01E-07	1.68E-08	1.48E-07	2.61E-07
2:Ins:R:0	6.63E-04	1.28E-03	3.96E-04	1.46E-03
2:Ins:R:1	3.33E-04	1.77E-04	4.92E-04	5.59E-04
2:Ins:R:2	9.83E-05	1.71E-08	1.48E-04	1.43E-04
2:Ins:R:3	5.79E-05	1.77E-08	7.61E-05	2.46E-04
2:Ins:R:4	1.81E-07	1.59E-08	2.21E-04	4.22E-05
2:Ins:R:5	1.01E-07	1.68E-08	1.48E-07	2.61E-07
3:Ins:R:0	8.97E-05	1.06E-03	1.76E-07	5.76E-05
3:Ins:R:1	2.41E-04	1.50E-08	1.51E-04	3.58E-04
3:Ins:R:2	7.11E-05	1.12E-04	1.07E-04	1.88E-04
3:Ins:R:3	1.01E-07	1.68E-08	1.48E-07	2.61E-07
3:Ins:R:4	1.01E-07	1.68E-08	1.48E-07	2.61E-07
3:Ins:R:5	1.01E-07	1.68E-08	1.48E-07	2.61E-07
4:Ins:R:0	9.66E-08	9.92E-04	1.04E-07	2.94E-07
4:Ins:R:1	3.76E-05	1.83E-04	1.40E-04	3.58E-04
4:Ins:R:2	1.01E-07	1.68E-08	1.48E-07	2.61E-07
4:Ins:R:3	7.68E-05	1.77E-08	1.81E-04	1.48E-04
4:Ins:R:4	1.01E-07	1.68E-08	1.48E-07	2.61E-07
4:Ins:R:5	1.01E-07	1.68E-08	1.48E-07	2.61E-07
5:Ins:R:0	1.00E-07	2.37E-03	3.23E-08	2.23E-07
5:Ins:R:1	8.94E-04	1.40E-08	1.84E-03	2.46E-03
5:Ins:R:2	8.64E-05	1.77E-08	1.86E-04	1.75E-04
5:Ins:R:3	1.01E-07	1.68E-08	1.48E-07	2.61E-07
5:Ins:R:4	1.01E-07	1.68E-08	1.48E-07	2.61E-07
5:Ins:R:5	1.01E-07	1.68E-08	1.48E-07	2.61E-07
2:Del:M:1	1.10E-03	5.68E-04	2.24E-03	2.24E-03
3:Del:M:1	3.05E-04	2.32E-04	2.87E-04	7.01E-04
3:Del:M:2	1.70E-05	2.37E-04	4.00E-04	1.85E-04
4:Del:M:1	3.74E-04	1.40E-04	7.79E-04	1.29E-03
4:Del:M:2	9.06E-05	9.79E-05	3.41E-04	3.11E-04
4:Del:M:3	6.39E-05	2.07E-08	6.54E-05	1.50E-04
5:Del:M:1	2.80E-03	4.16E-04	3.44E-03	7.63E-03
5:Del:M:2	4.32E-04	3.02E-04	5.63E-04	1.23E-03
5:Del:M:3	3.74E-04	1.44E-08	2.24E-04	1.00E-03
5:Del:M:4	7.65E-05	1.98E-08	1.01E-04	1.91E-04
5:Del:M:5	1.01E-07	1.68E-08	1.48E-07	2.61E-07
