Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_97_7553_01A	47	0.711	50.202	106.813%	8.091	70.691%	0.87323	0.637
TCGA_97_7941_01A	97	0.882	57.091	58.857%	8.356	47.383%	0.35787	0.825
TCGA_97_8175_01A	30	0.595	39.684	132.28%	5.935	80.765%	1.23788	0.485
TCGA_97_A4M0_01A	466	0.966	126.962	27.245%	18.622	25.814%	0.09065	0.939
TCGA_97_A4M1_01A	47	0.752	43.101	91.704%	6.769	66.059%	0.85843	0.668
TCGA_97_A4M3_01A	241	0.933	99.923	41.462%	14.492	36.017%	0.18522	0.891
TCGA_99_7458_01A	516	0.973	141.836	27.488%	18.915	23.283%	0.08185	0.953
TCGA_J2_8194_01A	166	0.89	81.723	49.231%	11.238	45.576%	0.27666	0.779
TCGA_J2_A4AD_01A	381	0.954	136.299	35.774%	21.54	31.172%	0.15964	0.935
TCGA_J2_A4AG_01A	96	0.832	66.806	69.59%	9.404	55.802%	0.46941	0.734
TCGA_L4_A4E5_01A	396	0.955	135.579	34.237%	19.129	29.637%	0.11985	0.925
TCGA_L9_A443_01A	292	0.932	116.962	40.055%	16.314	36.191%	0.18951	0.877
TCGA_L9_A444_01A	643	0.976	165.793	25.784%	24.11	22.377%	0.07901	0.962
TCGA_MP_A4T4_01A	443	0.954	151.087	34.105%	21.079	30.233%	0.12147	0.92
TCGA_MP_A4T9_01A	42	0.705	43.687	104.017%	6.214	71.279%	0.82558	0.587
TCGA_MP_A4TF_01A	497	0.972	145.136	29.202%	18.191	23.443%	0.10697	0.951
TCGA_MP_A4TH_01A	131	0.845	82.77	63.183%	10.729	53.445%	0.38318	0.698
TCGA_NJ_A4YQ_01A	1298	0.99	204.066	15.722%	28.533	13.78%	0.03109	0.984
TCGA_NJ_A55O_01A	163	0.905	87.838	53.888%	13.129	42.754%	0.28176	0.864
TCGA_O1_A52J_01A	199	0.925	88.943	44.695%	11.768	37.961%	0.22301	0.866
