Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
TCGA_55_7281_01A	1.23E-01	5.64E-02	1.31E-01	7.73E-02	7.29E-02	6.20E-02	8.35E-02
TCGA_55_7573_01A	0.00E+00	1.71E-02	0.00E+00	1.41E-02	2.19E-02	0.00E+00	0.00E+00
TCGA_55_7574_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_55_7725_01A	0.00E+00	2.88E-02	1.41E-02	3.38E-02	2.39E-02	4.79E-02	2.19E-02
TCGA_55_7728_01A	7.52E-02	1.00E-02	1.00E-02	7.64E-02	0.00E+00	0.00E+00	0.00E+00
TCGA_55_7911_01A	8.91E-02	9.43E-02	5.63E-02	8.05E-02	1.40E-01	9.34E-02	6.61E-02
TCGA_55_7914_01A	1.07E-01	5.20E-02	3.55E-02	6.60E-02	1.10E-01	5.18E-02	5.86E-02
TCGA_55_7995_01A	9.32E-02	3.07E-02	7.20E-02	4.33E-02	5.64E-02	5.57E-02	4.77E-02
TCGA_55_8096_01A	1.52E-01	1.21E-01	6.98E-02	7.54E-02	6.86E-02	5.41E-02	1.28E-01
TCGA_55_8203_01A	1.52E-01	1.26E-01	6.68E-02	5.39E-02	1.30E-01	7.05E-02	9.54E-02
TCGA_55_8208_01A	8.95E-02	6.20E-02	2.23E-02	1.01E-01	9.02E-02	2.61E-02	7.98E-02
TCGA_55_8299_01A	1.13E-01	9.39E-02	6.86E-02	8.05E-02	7.04E-02	1.32E-01	8.89E-02
TCGA_55_8506_01A	2.19E-01	2.24E-01	1.56E-01	2.24E-01	1.53E-01	2.58E-01	1.54E-01
TCGA_55_8510_01A	1.39E-01	1.28E-01	1.29E-01	1.36E-01	8.80E-02	1.07E-01	1.31E-01
TCGA_55_8511_01A	1.73E-01	1.81E-01	1.18E-01	2.36E-01	1.01E-01	1.89E-01	1.21E-01
TCGA_55_8616_01A	2.92E-01	2.95E-01	2.95E-01	3.32E-01	2.00E-01	2.78E-01	2.91E-01
TCGA_55_A48X_01A	2.60E-01	2.27E-01	2.65E-01	2.76E-01	1.21E-01	3.19E-01	2.33E-01
TCGA_55_A492_01A	3.00E-02	1.18E-01	7.06E-02	8.86E-02	9.01E-02	8.20E-02	1.46E-01
TCGA_55_A493_01A	1.63E-01	2.02E-01	1.76E-01	1.25E-01	1.01E-01	1.53E-01	1.83E-01
TCGA_55_A494_01A	1.06E-01	6.04E-02	1.22E-01	9.37E-02	1.23E-01	1.19E-01	1.34E-01
TCGA_62_A46O_01A	2.26E-01	1.46E-01	2.00E-01	1.05E-01	1.49E-01	1.10E-01	1.19E-01
TCGA_62_A46R_01A	0.00E+00	1.71E-02	0.00E+00	1.41E-02	2.19E-02	0.00E+00	0.00E+00
TCGA_64_1679_01A	1.19E-01	7.29E-02	1.24E-01	1.46E-01	1.09E-01	1.00E-01	9.14E-02
TCGA_64_5781_01A	1.52E-01	2.15E-01	2.15E-01	1.15E-01	2.07E-01	1.53E-01	1.24E-01
TCGA_67_3770_01A	9.10E-02	3.55E-02	5.26E-02	3.33E-02	1.14E-01	3.67E-02	6.29E-02
TCGA_67_3774_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_67_6217_01A	9.95E-02	4.56E-02	5.13E-02	2.97E-02	5.00E-02	3.79E-02	5.75E-02
TCGA_69_7973_01A	1.66E-01	1.79E-01	1.38E-01	3.77E-02	8.45E-02	9.09E-02	1.33E-01
TCGA_69_7974_01A	2.30E-01	1.88E-01	1.22E-01	1.84E-01	1.88E-01	1.24E-01	1.15E-01
TCGA_69_7979_01A	3.93E-01	2.25E-01	3.77E-01	2.82E-01	3.13E-01	2.93E-01	2.14E-01
TCGA_69_7980_01A	2.53E-01	3.70E-01	1.61E-01	2.27E-01	1.88E-01	2.15E-01	1.83E-01
TCGA_73_4662_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_73_4666_01A	1.48E-01	5.61E-02	1.65E-01	9.23E-02	9.33E-02	1.47E-01	8.05E-02
TCGA_73_4670_01A	9.90E-02	3.79E-02	4.50E-02	5.06E-02	5.69E-02	6.01E-02	7.33E-02
TCGA_73_7498_01A	1.41E-02	3.27E-02	4.35E-02	3.27E-02	4.23E-02	3.27E-02	3.49E-02
TCGA_78_7145_01A	8.44E-02	5.26E-02	6.40E-02	4.47E-02	4.73E-02	5.91E-02	4.58E-02
TCGA_78_7146_01A	1.19E-01	1.02E-01	3.33E-02	8.31E-02	7.23E-02	1.12E-01	1.11E-01
TCGA_78_7147_01A	7.14E-02	3.39E-02	6.24E-02	5.12E-02	3.79E-02	5.39E-02	4.87E-02
TCGA_78_7153_01A	0.00E+00	2.39E-02	4.09E-02	3.86E-02	3.02E-02	4.56E-02	3.68E-02
TCGA_78_7158_01A	1.02E-01	2.43E-02	9.58E-02	5.32E-02	4.04E-02	4.38E-02	3.83E-02
TCGA_78_7159_01A	1.96E-01	1.04E-01	1.07E-01	1.01E-01	1.68E-01	1.35E-01	1.81E-01
TCGA_78_7161_01A	8.44E-02	3.51E-02	3.94E-02	4.93E-02	4.33E-02	6.53E-02	5.26E-02
TCGA_78_7220_01A	1.60E-01	1.24E-01	1.74E-01	2.19E-01	1.43E-01	1.85E-01	2.19E-01
TCGA_83_5908_01A	8.57E-02	8.76E-02	0.00E+00	1.00E-02	1.41E-02	0.00E+00	0.00E+00
TCGA_86_6851_01A	2.04E-01	1.17E-01	1.09E-01	2.14E-01	5.49E-02	8.44E-02	4.04E-02
TCGA_86_8056_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_91_6830_01A	8.44E-02	7.43E-02	1.00E-01	6.24E-02	5.86E-02	4.28E-02	7.41E-02
TCGA_91_6836_01A	1.54E-01	3.94E-02	1.18E-01	1.47E-01	9.96E-02	1.05E-01	1.06E-01
TCGA_91_6847_01A	2.00E-02	7.02E-02	6.67E-02	6.33E-02	5.00E-02	7.26E-02	7.31E-02
TCGA_95_7039_01A	2.40E-01	1.88E-01	1.25E-01	6.15E-02	5.57E-02	1.72E-01	1.28E-01
TCGA_95_7043_01A	1.76E-01	1.97E-01	1.87E-01	1.48E-01	1.73E-01	1.32E-01	1.11E-01
TCGA_95_7948_01A	0.00E+00	1.71E-02	0.00E+00	1.41E-02	2.19E-02	0.00E+00	0.00E+00
TCGA_95_A4VK_01A	1.02E-01	1.69E-01	9.01E-02	7.26E-02	1.38E-01	1.30E-01	1.48E-01
TCGA_95_A4VN_01A	2.41E-01	2.06E-01	7.06E-02	7.79E-02	6.08E-02	1.51E-01	1.39E-01
TCGA_95_A4VP_01A	7.44E-02	1.00E-02	8.12E-02	2.93E-02	2.73E-02	4.93E-02	3.79E-02
TCGA_97_7547_01A	1.27E-01	6.46E-02	1.63E-01	1.09E-01	8.73E-02	9.26E-02	1.05E-01
TCGA_97_8175_01A	1.41E-02	2.88E-02	3.14E-02	3.38E-02	3.86E-02	4.41E-02	4.09E-02
TCGA_97_A4M0_01A	7.52E-02	1.00E-02	0.00E+00	1.41E-02	7.71E-02	0.00E+00	0.00E+00
TCGA_97_A4M3_01A	1.34E-01	5.75E-02	5.37E-02	1.28E-01	5.06E-02	1.44E-01	7.69E-02
TCGA_99_7458_01A	1.50E-01	7.60E-02	9.95E-02	1.10E-01	1.08E-01	8.94E-02	1.22E-01
TCGA_J2_8194_01A	1.97E-02	3.59E-02	4.23E-02	3.78E-02	2.73E-02	3.27E-02	4.09E-02
TCGA_J2_A4AD_01A	1.76E-01	1.34E-01	1.11E-01	1.89E-01	1.69E-01	1.10E-01	1.83E-01
TCGA_J2_A4AG_01A	7.91E-02	3.79E-02	7.56E-02	4.09E-02	4.58E-02	2.93E-02	4.42E-02
TCGA_L4_A4E5_01A	1.02E-01	1.02E-01	1.00E-02	8.07E-02	8.52E-02	1.00E-02	0.00E+00
TCGA_L9_A443_01A	1.94E-01	5.06E-02	1.53E-01	8.13E-02	1.81E-01	8.92E-02	9.27E-02
TCGA_L9_A444_01A	1.66E-01	9.02E-02	6.60E-02	6.77E-02	1.30E-01	1.02E-01	7.56E-02
TCGA_MP_A4T4_01A	1.06E-01	8.56E-02	1.02E-01	9.12E-02	4.69E-02	1.32E-01	1.34E-01
TCGA_MP_A4TF_01A	2.06E-01	1.05E-01	1.83E-01	1.08E-01	2.37E-01	1.10E-01	1.02E-01
TCGA_MP_A4TH_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_NJ_A4YQ_01A	2.18E-01	9.01E-02	2.25E-01	2.02E-01	1.83E-01	1.52E-01	1.94E-01
TCGA_NJ_A55O_01A	1.07E-01	4.50E-02	7.16E-02	1.07E-01	4.42E-02	5.06E-02	5.74E-02
TCGA_O1_A52J_01A	9.46E-02	2.78E-02	8.22E-02	5.39E-02	5.51E-02	3.67E-02	5.93E-02
