Samples	SBS96A	SBS96B	SBS96C
TCGA_95_A4VP_01A	1.01E+00	4.63E-01	1.06E+00
TCGA_97_7547_01A	1.30E+00	1.05E+00	1.36E+00
TCGA_97_7553_01A	6.95E-01	2.87E-01	7.01E-01
TCGA_97_7941_01A	7.22E-01	5.46E-01	6.60E-01
TCGA_97_8175_01A	6.16E-01	3.44E-01	7.18E-01
TCGA_97_A4M0_01A	1.69E+00	1.36E+00	1.32E+00
TCGA_97_A4M1_01A	4.79E-01	5.55E-01	6.25E-01
TCGA_97_A4M3_01A	1.21E+00	1.03E+00	1.02E+00
TCGA_99_7458_01A	1.79E+00	1.02E+00	1.74E+00
TCGA_J2_8194_01A	1.28E+00	6.73E-01	1.25E+00
TCGA_J2_A4AD_01A	1.68E+00	2.14E+00	2.02E+00
TCGA_J2_A4AG_01A	8.77E-01	5.34E-01	8.88E-01
TCGA_L4_A4E5_01A	1.57E+00	9.65E-01	1.55E+00
TCGA_L9_A443_01A	1.24E+00	8.28E-01	1.29E+00
TCGA_L9_A444_01A	1.85E+00	1.18E+00	1.72E+00
TCGA_MP_A4T4_01A	1.73E+00	1.04E+00	1.67E+00
TCGA_MP_A4T9_01A	6.10E-01	5.11E-01	5.79E-01
TCGA_MP_A4TF_01A	1.94E+00	1.19E+00	2.25E+00
TCGA_MP_A4TH_01A	1.23E+00	4.39E-01	1.26E+00
TCGA_NJ_A4YQ_01A	2.97E+00	1.72E+00	2.50E+00
TCGA_NJ_A55O_01A	7.64E-01	5.49E-01	7.30E-01
TCGA_O1_A52J_01A	1.03E+00	6.77E-01	1.12E+00
