Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
TCGA_44_7672_01A	8.98E-02	3.62E-02	7.78E-02	5.39E-02	7.81E-02	8.19E-02	2.93E-02	8.49E-02
TCGA_44_8117_01A	2.53E-01	2.61E-01	1.63E-01	2.22E-01	2.07E-01	1.63E-01	7.30E-02	2.00E-01
TCGA_44_A4SU_01A	7.04E-02	2.78E-02	0.00E+00	7.37E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_49_4487_01A	1.14E-01	3.79E-02	5.96E-02	9.99E-02	3.39E-02	3.07E-02	4.58E-02	6.91E-02
TCGA_49_4488_01A	6.72E-02	6.81E-02	0.00E+00	1.00E-02	0.00E+00	0.00E+00	0.00E+00	2.00E-02
TCGA_49_4505_01A	6.50E-02	2.78E-02	4.98E-02	4.65E-02	3.73E-02	4.86E-02	6.08E-02	4.04E-02
TCGA_49_4506_01A	1.13E-01	4.19E-02	5.20E-02	6.20E-02	1.38E-01	5.91E-02	4.65E-02	2.78E-02
TCGA_49_4507_01A	8.56E-02	6.75E-02	8.95E-02	1.35E-01	6.51E-02	7.83E-02	1.40E-01	8.51E-02
TCGA_49_6744_01A	1.55E-01	4.77E-02	9.77E-02	1.33E-01	6.86E-02	1.04E-01	1.49E-01	8.13E-02
TCGA_49_6761_01A	2.81E-02	4.85E-02	4.64E-02	4.93E-02	4.73E-02	8.77E-02	5.26E-02	6.55E-02
TCGA_49_6767_01A	1.03E-01	6.03E-02	2.78E-02	5.18E-02	5.51E-02	4.24E-02	6.09E-02	1.24E-01
TCGA_50_5051_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_50_5941_01A	1.21E-01	1.31E-01	1.48E-01	1.06E-01	6.77E-02	2.04E-01	1.87E-01	1.58E-01
TCGA_50_5942_01A	0.00E+00	8.83E-02	4.93E-02	5.86E-02	3.67E-02	5.07E-02	2.97E-02	3.99E-02
TCGA_50_6590_01A	2.64E-01	1.68E-01	3.00E-01	1.47E-01	3.27E-01	2.02E-01	2.24E-01	1.11E-01
TCGA_50_6592_01A	1.09E-01	1.42E-01	4.09E-02	5.86E-02	3.83E-02	4.14E-02	5.86E-02	1.54E-01
TCGA_50_6593_01A	1.25E-01	6.52E-02	0.00E+00	1.34E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_53_7624_01A	2.01E-01	1.80E-01	1.11E-01	1.17E-01	2.31E-01	1.13E-01	1.33E-01	1.68E-01
TCGA_53_7813_01A	8.20E-02	8.88E-02	0.00E+00	3.94E-02	1.00E-02	0.00E+00	2.00E-02	8.56E-02
TCGA_55_6970_01A	0.00E+00	4.33E-02	4.33E-02	4.50E-02	7.91E-02	5.18E-02	3.89E-02	6.31E-02
TCGA_55_6979_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_55_6985_01A	1.65E-01	1.09E-01	1.11E-01	1.21E-01	1.66E-01	2.23E-01	1.41E-01	1.32E-01
TCGA_55_7281_01A	1.22E-01	6.90E-02	1.28E-01	7.12E-02	5.98E-02	7.34E-02	7.15E-02	5.64E-02
TCGA_55_7573_01A	0.00E+00	2.39E-02	0.00E+00	2.39E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_55_7574_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_55_7725_01A	0.00E+00	2.39E-02	1.00E-02	3.02E-02	2.56E-02	4.92E-02	1.71E-02	3.38E-02
TCGA_55_7728_01A	7.65E-02	2.23E-02	0.00E+00	2.61E-02	7.82E-02	0.00E+00	0.00E+00	2.81E-02
TCGA_55_7911_01A	9.29E-02	7.72E-02	9.10E-02	1.32E-01	7.23E-02	9.08E-02	6.15E-02	7.92E-02
TCGA_55_7914_01A	1.07E-01	5.91E-02	3.07E-02	1.18E-01	4.19E-02	4.27E-02	5.86E-02	4.82E-02
TCGA_55_7995_01A	8.93E-02	2.93E-02	8.80E-02	4.85E-02	1.97E-02	1.71E-02	3.94E-02	3.51E-02
TCGA_55_8096_01A	1.41E-01	1.26E-01	6.36E-02	7.99E-02	1.71E-02	4.85E-02	6.45E-02	1.03E-01
TCGA_55_8203_01A	1.46E-01	1.30E-01	6.36E-02	1.42E-01	4.38E-02	6.49E-02	8.42E-02	6.71E-02
TCGA_55_8208_01A	9.09E-02	6.79E-02	0.00E+00	8.76E-02	1.00E-01	2.00E-02	1.00E-02	8.61E-02
TCGA_55_8299_01A	1.10E-01	6.13E-02	7.80E-02	6.01E-02	7.29E-02	1.28E-01	6.86E-02	6.97E-02
TCGA_55_8506_01A	2.33E-01	1.55E-01	1.25E-01	1.96E-01	2.43E-01	2.42E-01	8.91E-02	1.68E-01
TCGA_55_8510_01A	1.39E-01	1.17E-01	1.29E-01	8.02E-02	1.21E-01	8.95E-02	4.58E-02	1.22E-01
TCGA_55_8511_01A	1.68E-01	1.62E-01	1.11E-01	8.39E-02	2.25E-01	1.69E-01	1.15E-01	8.02E-02
TCGA_55_8616_01A	2.68E-01	3.02E-01	2.62E-01	2.05E-01	3.42E-01	2.51E-01	1.64E-01	2.37E-01
TCGA_55_A48X_01A	2.93E-01	2.36E-01	2.82E-01	1.70E-01	2.58E-01	3.00E-01	1.95E-01	1.64E-01
TCGA_55_A492_01A	3.00E-02	1.05E-01	4.52E-02	8.63E-02	4.22E-02	3.00E-02	6.09E-02	1.34E-01
TCGA_55_A493_01A	1.51E-01	1.86E-01	1.85E-01	9.86E-02	1.30E-01	1.55E-01	1.54E-01	1.28E-01
TCGA_55_A494_01A	9.48E-02	3.89E-02	1.28E-01	1.33E-01	7.81E-02	1.14E-01	1.08E-01	1.09E-01
TCGA_62_A46O_01A	2.09E-01	1.47E-01	1.54E-01	1.30E-01	1.03E-01	6.62E-02	1.67E-01	9.28E-02
TCGA_62_A46R_01A	0.00E+00	2.39E-02	0.00E+00	2.39E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_64_1679_01A	1.31E-01	5.45E-02	6.57E-02	9.27E-02	1.37E-01	9.68E-02	1.41E-01	7.02E-02
TCGA_64_5781_01A	1.39E-01	1.89E-01	1.16E-01	2.05E-01	1.10E-01	1.76E-01	1.61E-01	9.25E-02
TCGA_67_3770_01A	8.62E-02	4.47E-02	3.99E-02	1.11E-01	5.07E-02	2.78E-02	4.79E-02	5.70E-02
TCGA_67_3774_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_67_6217_01A	1.05E-01	2.61E-02	7.83E-02	1.41E-02	2.97E-02	4.69E-02	5.86E-02	4.82E-02
TCGA_69_7973_01A	1.53E-01	1.65E-01	6.67E-02	7.35E-02	6.15E-02	7.94E-02	1.53E-01	6.86E-02
TCGA_69_7974_01A	2.37E-01	1.65E-01	1.03E-01	1.88E-01	2.08E-01	1.00E-01	1.65E-01	1.34E-01
TCGA_69_7979_01A	3.30E-01	1.87E-01	3.00E-01	3.35E-01	2.98E-01	2.02E-01	1.93E-01	1.71E-01
TCGA_69_7980_01A	2.79E-01	3.53E-01	1.55E-01	1.80E-01	2.12E-01	1.71E-01	1.46E-01	2.09E-01
TCGA_73_4662_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_73_4666_01A	1.39E-01	7.26E-02	2.00E-02	8.92E-02	6.86E-02	1.10E-01	1.65E-01	1.12E-01
TCGA_73_4670_01A	1.05E-01	4.90E-02	5.98E-02	3.51E-02	8.47E-02	5.20E-02	5.39E-02	3.83E-02
TCGA_73_7498_01A	1.41E-02	2.19E-02	4.02E-02	4.02E-02	3.68E-02	3.02E-02	2.88E-02	3.86E-02
TCGA_78_7145_01A	8.35E-02	4.61E-02	5.12E-02	6.40E-02	2.78E-02	4.50E-02	5.39E-02	5.18E-02
TCGA_78_7146_01A	1.14E-01	8.79E-02	3.12E-02	4.50E-02	6.15E-02	1.01E-01	5.62E-02	1.28E-01
TCGA_78_7147_01A	7.06E-02	2.61E-02	6.34E-02	3.99E-02	4.35E-02	4.93E-02	3.55E-02	5.18E-02
TCGA_78_7153_01A	0.00E+00	1.97E-02	4.51E-02	2.88E-02	3.59E-02	3.86E-02	2.19E-02	4.09E-02
TCGA_78_7158_01A	9.68E-02	3.83E-02	8.47E-02	4.38E-02	5.57E-02	4.61E-02	3.39E-02	1.97E-02
TCGA_78_7159_01A	1.85E-01	8.00E-02	1.16E-01	1.52E-01	1.14E-01	9.97E-02	7.53E-02	1.55E-01
TCGA_78_7161_01A	8.45E-02	4.29E-02	4.09E-02	5.57E-02	5.43E-02	5.06E-02	4.04E-02	3.89E-02
TCGA_78_7220_01A	1.55E-01	1.13E-01	2.31E-01	1.23E-01	2.29E-01	1.44E-01	5.98E-02	2.00E-01
TCGA_83_5908_01A	8.80E-02	8.93E-02	0.00E+00	1.00E-02	0.00E+00	0.00E+00	0.00E+00	1.00E-02
TCGA_86_6851_01A	2.37E-01	2.61E-02	6.31E-02	6.77E-02	2.52E-01	4.11E-02	1.09E-01	9.86E-02
TCGA_86_8056_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_91_6830_01A	8.61E-02	5.81E-02	1.02E-01	5.33E-02	5.43E-02	6.72E-02	7.70E-02	5.00E-02
TCGA_91_6836_01A	1.46E-01	2.43E-02	1.17E-01	7.30E-02	1.34E-01	8.89E-02	8.06E-02	7.64E-02
TCGA_91_6847_01A	1.00E-02	6.17E-02	7.18E-02	5.37E-02	5.96E-02	7.00E-02	5.66E-02	6.01E-02
TCGA_95_7039_01A	2.04E-01	1.68E-01	9.35E-02	5.56E-02	5.93E-02	8.82E-02	1.16E-01	1.21E-01
TCGA_95_7043_01A	1.84E-01	1.70E-01	8.66E-02	1.82E-01	1.52E-01	1.36E-01	1.59E-01	6.96E-02
TCGA_95_7948_01A	0.00E+00	2.39E-02	0.00E+00	2.39E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_95_A4VK_01A	1.05E-01	1.35E-01	8.17E-02	1.56E-01	6.04E-02	1.18E-01	8.74E-02	1.57E-01
TCGA_95_A4VN_01A	2.08E-01	1.71E-01	8.51E-02	9.05E-02	7.16E-02	1.29E-01	1.29E-01	1.51E-01
TCGA_95_A4VP_01A	7.31E-02	2.43E-02	1.00E-02	2.78E-02	2.93E-02	2.43E-02	8.15E-02	1.97E-02
TCGA_97_7547_01A	1.33E-01	5.64E-02	9.59E-02	4.04E-02	1.07E-01	6.87E-02	1.58E-01	8.44E-02
TCGA_97_8175_01A	1.41E-02	2.19E-02	3.94E-02	3.02E-02	2.88E-02	4.02E-02	4.16E-02	3.38E-02
TCGA_97_A4M0_01A	7.52E-02	2.61E-02	0.00E+00	7.70E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_97_A4M3_01A	1.34E-01	5.25E-02	5.98E-02	8.09E-02	1.52E-01	1.18E-01	2.19E-02	6.94E-02
TCGA_99_7458_01A	1.40E-01	3.55E-02	9.98E-02	9.59E-02	8.66E-02	8.86E-02	1.08E-01	9.40E-02
TCGA_J2_8194_01A	1.71E-02	3.27E-02	3.59E-02	3.27E-02	4.02E-02	3.49E-02	2.56E-02	3.78E-02
TCGA_J2_A4AD_01A	1.65E-01	7.18E-02	1.46E-01	1.85E-01	1.61E-01	1.09E-01	1.08E-01	1.82E-01
TCGA_J2_A4AG_01A	7.65E-02	2.56E-02	7.96E-02	2.78E-02	4.64E-02	2.61E-02	2.19E-02	4.24E-02
TCGA_L4_A4E5_01A	1.03E-01	9.71E-02	0.00E+00	8.76E-02	9.57E-02	0.00E+00	0.00E+00	2.00E-02
TCGA_L9_A443_01A	2.08E-01	6.52E-02	7.53E-02	1.72E-01	6.42E-02	6.98E-02	1.61E-01	8.90E-02
TCGA_L9_A444_01A	2.07E-01	5.13E-02	1.53E-01	1.27E-01	6.42E-02	6.86E-02	1.32E-01	8.30E-02
TCGA_MP_A4T4_01A	1.11E-01	7.43E-02	9.53E-02	8.88E-02	9.34E-02	1.24E-01	1.06E-01	8.63E-02
TCGA_MP_A4TF_01A	1.74E-01	1.19E-01	1.21E-01	2.29E-01	8.80E-02	1.31E-01	1.45E-01	7.21E-02
TCGA_MP_A4TH_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_NJ_A4YQ_01A	2.42E-01	7.56E-02	1.25E-01	1.85E-01	2.02E-01	1.19E-01	2.30E-01	1.36E-01
TCGA_NJ_A55O_01A	1.10E-01	1.41E-02	5.45E-02	5.20E-02	1.07E-01	6.26E-02	6.53E-02	3.51E-02
TCGA_O1_A52J_01A	9.46E-02	4.42E-02	8.80E-02	3.62E-02	3.79E-02	3.55E-02	5.06E-02	4.04E-02
